국가,코드,대륙,연도,여성 국회의원 비율
Democratic Republic of Congo,COD,아프리카,2025,12.8
Central African Republic,CAF,아프리카,2025,11.4
Liberia,LBR,아프리카,2025,11.0
Syria,SYR,아시아,2023,10.8
Sri Lanka,LKA,아시아,2025,9.8
Fiji,FJI,오세아니아,2025,9.1
Botswana,BWA,아프리카,2025,9.0
Gambia,GMB,아프리카,2025,8.6
Algeria,DZA,아프리카,2025,7.9
Lebanon,LBN,아시아,2025,6.3
Qatar,QAT,아시아,2025,6.1
Solomon Islands,SLB,오세아니아,2025,6.0
Iran,IRN,아시아,2025,4.9
Bhutan,BTN,아시아,2025,4.3
Nigeria,NGA,아프리카,2025,4.2
Maldives,MDV,아시아,2025,3.2
Haiti,HTI,북미,2022,3.0
Papua New Guinea,PNG,오세아니아,2025,2.7
Kuwait,KWT,아시아,2024,2.0
Vanuatu,VUT,오세아니아,2025,1.9
Oman,OMN,아시아,2025,0.0
Yemen,YEM,아시아,2025,0.0
