곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
Eject,CHRIS YONGE,rap,35,73,48,13,110
Let Me Clear My Throat - Old School Reunion Remix '96,DJ Kool,rap,52,70,90,54,103
I Got Dat Feelin' - Live,DJ Kool,rap,26,81,79,53,93
Paid In Full,Eric B. & Rakim,rap,51,88,85,40,99
King Of The Hill,Westside Connection,rap,42,89,82,64,93
Straight Outta Compton,N.W.A.,rap,70,83,88,42,103
Let's Play House,Tha Dogg Pound,rap,52,82,70,80,91
Pimp Of The Year,Dru Down,rap,48,93,51,30,101
Rock The Bells,LL Cool J,rap,51,90,52,28,98
Buttermilk Biscuits (Keep On Square Dancin'),Sir Mix-A-Lot,rap,44,94,60,64,115
Ain't No Future In Yo' Frontin',MC Breed,rap,48,67,76,73,102
The Booty Dub,DJ Magic Mike,rap,26,81,53,60,128
My Prerogative,Bobby Brown,rap,56,75,62,68,110
Nothing But Bass,Bass Patrol,rap,24,58,42,4,183
The Rhythm,Kwame,rap,29,93,45,91,100
All Girls Are The Same,Juice WRLD,rap,3,67,45,22,162
Black Ice,Boaz,rap,0,69,78,43,115
The Morning,Raekwon,rap,45,67,65,19,82
Ali Bomaye,The Game,rap,3,38,69,24,71
Twijfel,Fresku,rap,44,65,92,45,93
Hard Knock Life (The Ghetto Anthem) - Radio Edit,JAY-Z,rap,4,78,65,60,77
Harder Than You Think,Public Enemy,rap,61,48,85,77,104
När solen går ner,AKI,rap,55,81,78,76,92
Put On,Jeezy,rap,2,65,77,27,138
Een Barkie,De Jeugd Van Tegenwoordig,rap,0,66,62,69,100
The Motto,Drake,rap,10,77,43,35,202
Hate It Or Love It,The Game,rap,47,80,78,42,100
Mockingbird,Eminem,rap,13,62,67,23,84
Martians Vs Goblins,The Game,rap,1,48,81,64,83
Donald Trump,Mac Miller,rap,68,64,90,84,163
I Got 5 On It,Luniz,rap,73,60,71,58,174
93 'Til Infinity,Souls Of Mischief,rap,68,59,67,69,206
C.R.E.A.M.,Wu-Tang Clan,rap,72,48,55,58,181
MC's Act Like They Don't Know,KRS-One,rap,58,86,80,86,90
Shadowboxin',GZA,rap,64,70,64,72,92
Tonight's Da Night,Redman,rap,62,70,69,87,90
Me Or The Papes,Jeru The Damaja,rap,58,69,60,80,170
Baknaffek,Das EFX,rap,45,81,53,25,95
No Fear,O.G.C.,rap,35,87,51,78,90
Clan In Da Front,Wu-Tang Clan,rap,54,71,62,59,96
Things Done Changed - 2005 Remaster,The Notorious B.I.G.,rap,52,74,63,12,91
Unbelievable - 2005 Remaster,The Notorious B.I.G.,rap,52,77,79,77,183
Straighten It Out,Pete Rock & C.L. Smooth,rap,52,77,66,79,99
Put Your Head Out,House Of Pain,rap,40,83,68,79,98
Bitch Betta Have My Money,Tyga,rap,47,85,74,67,98
Faded,Tyga,rap,60,83,67,34,95
Where Ya At,Future,rap,67,81,45,19,162
The Motto,Drake,rap,73,77,44,39,202
We Dem Boyz,Wiz Khalifa,rap,67,72,86,52,130
Candy Shop,50 Cent,rap,7,62,58,73,124
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,rap,74,65,80,79,135
Rack City,Tyga,rap,64,93,34,27,99
Yeah! (feat. Lil Jon & Ludacris),Usher,rap,79,89,79,58,105
Again,Fetty Wap,rap,68,75,73,29,93
Come on to Me (feat. Sean Paul),Major Lazer,rap,37,70,89,38,110
Adventure of a Lifetime,Coldplay,rap,74,64,92,53,112
You Know You Like It,DJ Snake,rap,9,41,72,25,196
Lean Back,Terror Squad,rap,5,80,92,70,127
Derp - Original Mix,Bassjackers,rap,56,65,97,22,128
Rich Niggaz,Juvenile,rap,39,65,79,51,176
Saturday (Oooh! Ooooh!),Ludacris,rap,46,59,81,70,103
Make 'Em Say Ugh,Master P,rap,49,60,73,37,83
Somethin Serious,Big Mike,rap,22,88,69,77,98
Player's Ball,OutKast,rap,59,86,76,58,93
Small Time,Lil' Troy,rap,18,74,77,62,92
25 Lighters,DJ DMD,rap,4,83,64,70,168
Definition of God,Sean Price,rap,26,44,89,42,80
Money Dance,Rick Ross,rap,0,68,71,36,87
Scientology,Rick Ross,rap,41,45,84,44,82
Blessing In Disguise,Rick Ross,rap,0,50,71,46,78
Amsterdam,Rick Ross,rap,0,58,79,14,88
Hold Me Back,Rick Ross,rap,43,44,71,44,126
Baby You (feat. Jason Derulo),The Game,rap,39,55,70,49,157
Jesus Piece,The Game,rap,0,49,66,25,82
40th Street Black / We Will Fight,Wu-Tang Clan,rap,30,87,65,43,120
Solomon Grundy,Sean Price,rap,18,45,87,45,80
LOVEHAPPY,The Carters,rap,50,65,91,58,82
Power,Rapsody,rap,42,44,85,60,81
That New York,Fredro Starr,rap,13,54,65,12,176
המוסד,La Coka Nostra,rap,36,59,93,33,90
The Lion Roars - Mayfield Version,Stephen Marley,rap,0,60,81,93,83
Power Up,"Noke D, D-Gotti, D-Reck, Tyte Eyes & Mik",rap,0,91,78,90,89
City Of Syrup,Big Moe,rap,0,89,44,40,104
Where I’m From - (Huggin’ Da Block) Feat. Z-ro,Big Pokey,rap,12,79,65,77,80
The Screwed Up Click,DJ Screw & The Screwed Up Click,rap,0,51,72,98,86
Wanna Know Who You Are,DJ Screw & The Screwed Up Click,rap,8,49,61,34,148
Full Time Player,Fat Pat,rap,0,78,70,69,80
Sold Out Dates (feat. Lil Baby),Gunna,rap,5,82,55,32,127
SportsCenter,Gucci Mane,rap,20,56,42,38,148
Superhero,Tapemasters Inc and Gucci Mane,rap,11,71,85,62,146
Swing My Door,Gucci Mane,rap,42,75,49,24,140
Well Uh Huh,Pastor Troy,rap,4,68,75,34,164
Cry Me a River,Justin Timberlake,rap,74,62,65,56,74
No Smoke,YoungBoy Never Broke Again,rap,69,66,74,80,144
Old Train (feat. Struggle Jennings),Adam Calhoun,rap,33,61,60,37,80
Rolling Stoned,Upchurch,rap,65,74,51,20,144
Lord Knows (feat. Justin Adams),Upchurch,rap,44,77,77,68,130
God's Work,Demun Jones,rap,0,52,54,53,164
The Beard Song,Demun Jones,rap,28,49,51,42,160
Train Tracks (feat. Struggle),Jelly Roll,rap,56,70,72,53,88
Cowboys,Jelly Roll,rap,54,69,67,48,75
I'm Still Here (feat. Corey Crowder),SMO,rap,21,84,57,93,102
All They Wanna Hear,Danny Boone,rap,27,59,64,74,160
Let's Get Lost,Jelly Roll,rap,28,51,76,51,178
New Orleans,Jelly Roll,rap,40,75,66,26,117
Fly Away,CRUCIFIX,rap,35,76,58,54,140
Gassed Up,Upchurch,rap,41,57,81,59,131
Dirty Elvis,Upchurch,rap,40,67,82,55,130
Livin' on Closing Time,Bottleneck,rap,18,52,72,37,169
Back (with Jake Owen),Colt Ford,rap,46,54,74,60,137
Best For You,Lil Muk,rap,48,52,51,32,99
Costa Rica,Bankrol Hayden,rap,67,90,48,68,128
Fake Bitches,Justina Valentine,rap,24,91,72,45,100
Trapper of the Year,PashaPG,rap,0,65,50,38,166
Old Me,Michael Kraun,rap,35,75,68,17,110
Just A Lil Bit,50 Cent,rap,2,70,68,53,97
Handsome,Rafi Malice,rap,38,78,57,32,90
Push It,Rick Ross,rap,59,66,76,77,151
Westside Story,The Game,rap,2,88,65,96,87
Forgot About Dre,Dr. Dre,rap,16,92,74,60,134
Keep It on Me,Dewey da Don,rap,27,55,79,49,87
Beg For Mercy,G-Unit,rap,0,61,79,84,98
I Can,Nas,rap,0,84,88,69,95
Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat.,Funkmaster Flex,rap,0,57,94,81,189
Chin Check,N.W.A.,rap,0,93,73,78,100
Ether,Nas,rap,21,57,83,77,76
Hail Mary,2Pac,rap,0,73,65,38,164
Hustlin',Rick Ross,rap,3,50,65,65,136
Juicy - 2007 Remaster,The Notorious B.I.G.,rap,62,87,82,79,96
Many Men (Wish Death),50 Cent,rap,65,59,83,39,162
Pandemonium (feat. Wale & Rick Ross),Meek Mill,rap,32,61,89,76,160
Runnin' (Dying To Live),2Pac,rap,45,54,80,67,166
Thug 4 Life,2Pac,rap,0,92,79,88,105
Vato,Snoop Dogg,rap,1,48,71,46,91
Кинотеатр «Дружба»,Брутто,rap,32,71,64,54,146
Статус,Nurminsky,rap,33,77,83,80,160
Амбасcадора,Gamora,rap,27,81,79,73,82
Рукалицо,Scroodgee,rap,36,83,58,50,140
До тла,Blvckross,rap,0,42,61,16,176
Буду погибать мало.дым,N1NT3ND0,rap,32,46,56,32,82
Странно,Местный,rap,0,65,69,55,85
На связи (feat. shot),Simaga,rap,24,76,60,47,85
Воспитала,Сережа Местный,rap,18,64,83,65,170
БМВ или МЕРС,Mezza,rap,32,74,44,18,116
Outta Control,50 Cent,rap,0,69,74,46,96
Realest N*ggas - Notorious B.I.G. & 50 Cent,Notorious B.I.G. & 50 Cent,rap,0,90,73,80,96
Go To Sleep,Eminem,rap,4,57,86,37,180
Gangsta Music,Jeezy,rap,0,61,68,27,145
'Till I Collapse,Eminem,rap,83,55,85,10,171
Sacrilegious,ScHoolboy Q,rap,51,77,51,50,134
WW III,Ruff Ryders,rap,0,71,62,41,89
Wait A Minute,G Unit,rap,11,72,68,46,140
Don't Need No Help,Young Buck,rap,35,71,87,94,76
Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,rap,47,84,74,64,92
Digital Scale,G-Unit,rap,0,70,82,69,84
Detroit Vs. Everybody,Eminem,rap,48,53,76,30,176
Catch Up,Pasto Flocco,rap,51,83,71,60,112
head first,Christian French,rap,68,91,39,61,127
Ante Up,M O P,rap,43,64,86,81,97
Lotto,Rotimi,rap,0,72,53,34,90
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,rap,21,70,73,6,171
Pimp Like Me,D12,rap,0,88,54,55,136
Proud Of You,Skooly,rap,15,70,67,78,76
Zérosechsneun,Reda Rwena,rap,27,44,80,38,85
BMW Alpina,Capital Bra,rap,47,78,73,61,150
N.T.M.,LX & Maxwell,rap,53,65,63,11,94
Lieblingszahl,Hasuna,rap,42,52,75,63,129
Saudi Arabi Money Rich - Babos Remix,Haftbefehl,rap,32,48,80,49,172
Is' mir egal,Hanybal,rap,0,63,74,65,90
District,AK Ausserkontrolle,rap,45,78,74,37,94
Geht Los!,Sa4,rap,44,70,74,83,98
Headshot,BTNG,rap,33,54,69,10,167
Hot Pursuit,Hasan.K,rap,9,69,66,80,174
Krokodil,Sa4,rap,41,67,68,25,174
Black Friday,Bushido,rap,20,63,84,73,89
Zackig die Patte,Nazar,rap,0,67,75,36,103
"1,2,3",Hanybal,rap,0,64,86,69,91
Wer bist du?!,Haze,rap,32,60,85,74,94
Children's Story,Slick Rick,rap,0,91,55,74,103
Eazy-er Said Than Dunn,Eazy-E,rap,50,87,82,75,103
Regulate,Warren G,rap,73,85,52,76,95
Murder Rap,Above The Law,rap,31,70,93,76,98
Enemies (feat. DaBaby),Post Malone,rap,46,54,67,67,76
Going Bad (feat. Drake),Meek Mill,rap,85,89,50,54,86
Poppin' Them Thangs,G-Unit,rap,67,77,82,92,88
Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,rap,81,76,67,57,93
Riot (with Lil Durk & Booka600 feat. G Herbo),Only The Family,rap,56,52,84,67,104
High Tolerance (with Lil Durk feat. NLE Choppa),Only The Family,rap,59,78,57,64,150
The Watcher,Dr. Dre,rap,57,94,49,52,98
Things Done Changed - 2005 Remaster,The Notorious B.I.G.,rap,52,74,63,12,91
Dollars And Sense,DJ Quik,rap,0,85,55,44,99
Iron Maiden,Ghostface Killah,rap,17,76,56,74,103
Twinz (Deep Cover 98),Big Pun,rap,35,64,89,47,95
My Mind Playin Tricks On Me,Geto Boys,rap,0,89,62,42,94
Gas Drawls,MF DOOM,rap,47,77,76,53,91
Elevators (Me & You),OutKast,rap,59,77,59,64,85
So You Want To Be A Gangster,Juice The Motion Picture Soundtrack,rap,0,83,41,52,166
Who Got Da Props,Black Moon,rap,55,80,65,26,100
Mash,J Dilla,rap,39,69,81,26,102
Step Up,Pete Rock,rap,0,76,70,68,91
Beef,Mos Def,rap,0,72,52,71,115
Wreckonize - Remix Vocal,Smif-N-Wessun,rap,58,78,45,56,93
Microphone Fiend,Eric B. & Rakim,rap,47,59,80,69,94
CAN'T LOSE YOU,Night Lovell,rap,55,82,57,10,134
BAD KID,Night Lovell,rap,61,89,32,4,135
PINK WITCH / LESSON,Night Lovell,rap,48,60,51,4,135
Fly,Prznt,rap,40,61,37,35,130
In Da Club,50 Cent,rap,77,90,71,78,90
It Was A Good Day,Ice Cube,rap,2,80,74,81,82
Hoo-Bangin' (WSCG Style),Westside Connection,rap,39,91,42,39,92
Don't Push Me,50 Cent,rap,52,50,78,66,171
Hail Mary,2Pac,rap,1,79,64,39,82
Patiently Waiting,50 Cent,rap,62,54,68,52,79
Real Niggaz Don't Die,N.W.A.,rap,39,71,92,58,92
Real Muthaphuckkin' G's,Eazy-E,rap,69,72,85,78,171
Purple Pills,D12,rap,7,77,63,75,125
That's That S*** - Radio Edit,Snoop Dogg,rap,25,87,64,71,82
Dopeman - Remix,N.W.A.,rap,50,82,57,69,176
Fuck Tha Police,N.W.A.,rap,57,85,84,74,99
Bankster,AK Ausserkontrolle,rap,37,51,78,56,144
Wahre Begebenheiten (feat. AK Ausserkontrolle),18 Karat,rap,49,71,71,48,186
MS Siskat,AJÉ,rap,0,79,49,9,124
36 Bars Reloaded,Mosh36,rap,0,55,58,30,178
Königsaura,Kollegah,rap,15,42,86,36,93
Großstadtdschungel,Miami Yacine,rap,43,78,71,18,118
Patte fließt,Azet,rap,52,70,68,56,93
Meister Yoda,Azet,rap,49,87,51,50,134
Fast Life,Azet,rap,56,74,64,60,98
Gjynah,Azet,rap,43,69,79,43,120
Ich komm allein,Olexesh,rap,9,79,73,49,117
Verkauft,RAF Camora,rap,48,77,78,39,108
Balenciaga,Ufo361,rap,50,76,55,18,137
Bossaura - Remastered,Kollegah,rap,0,59,78,33,88
My Mind Playin Tricks On Me,Geto Boys,rap,0,89,62,44,94
Been There Done That,Dr. Dre,rap,39,49,72,53,86
This D.J.,Warren G,rap,64,80,44,58,92
I Ain't Mad At Cha,2Pac,rap,58,75,68,67,85
Gz And Hustlas (feat. Nancy Fletcher),Snoop Dogg,rap,56,65,81,79,92
Face Down,Mustard,rap,0,77,68,70,97
m.A.A.d city,Kendrick Lamar,rap,67,49,73,22,91
Hookah,Tyga,rap,2,86,48,21,95
Digits,Young Thug,rap,68,77,63,29,132
Skateboard P,MadeinTYO,rap,55,84,50,32,151
Yeah Ya Know (Takers),T.I.,rap,35,46,90,24,140
Money Longer,Lil Uzi Vert,rap,76,80,57,48,136
Bout Me (feat. Problem & Iamsu),Wiz Khalifa,rap,43,80,83,32,100
Three,Future,rap,52,72,69,30,169
Bank Account,21 Savage,rap,6,88,35,38,75
Rap Saved Me,21 Savage,rap,67,84,40,15,143
The Ringer,Eminem,rap,75,94,55,42,119
Captain (feat. Smokepurpp) - Remix,Wiz Khalifa,rap,54,89,56,44,122
On the River,Young Dolph,rap,57,86,39,10,140
Brigada (Epilogue),Alexey Shelygin,rap,0,35,38,41,77
Валим,Nurminsky,rap,47,82,78,69,142
Колибри,Kavabanga Depo Kolibri,rap,53,57,52,78,156
Пацанская,НЕ.KURILI,rap,20,66,80,55,80
Сарума,Kaspiyskiy Gruz,rap,21,65,77,56,82
Уйду с мыслями,Nurminsky,rap,33,85,78,83,80
Мне бы в небо (feat. Руслан Черный),StaFFord63,rap,24,74,62,61,78
Ламбада,N1NT3ND0,rap,17,84,66,72,85
Осень,Basta,rap,33,71,65,88,92
"Ой, мороз",Kaspiyskiy Gruz,rap,29,72,37,46,81
По ресторанам,Kaspiyskiy Gruz,rap,27,62,51,57,150
Свобода (Feat Alesh),Simaga,rap,19,69,65,56,88
За туманами,Litvinenko,rap,34,87,72,51,126
Guilty Conscience,Eminem,rap,4,75,78,49,91
2 Of Amerikaz Most Wanted,2Pac,rap,54,85,88,84,99
Get Money,Junior M.A.F.I.A.,rap,58,73,83,89,91
Late Night Hype,Compton's Most Wanted,rap,49,86,29,73,94
We Can Freak It,Kurupt,rap,53,78,58,58,99
I Get Around,2Pac,rap,69,85,42,64,96
2 Of Amerikaz Most Wanted - (Explicit),2Pac,rap,1,71,90,82,198
SOLVED THE PROBLEM,Comethazine,rap,68,94,70,68,98
Shotta Flow 2,NLE Choppa,rap,70,75,53,39,132
Walk,Comethazine,rap,75,83,80,74,160
BLOCC IS HOT,NLE Choppa,rap,50,75,87,85,166
Straight Thru,Quin Nfn,rap,54,95,33,42,125
BIRDBOY,NLE Choppa,rap,52,86,43,53,123
GUMMO,6ix9ine,rap,0,69,78,68,78
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,rap,1,68,74,65,130
Regulate,Warren G,rap,0,85,50,77,95
Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,rap,58,82,53,73,99
Hail Mary,2Pac,rap,1,79,63,38,82
Can't Nobody Hold Me Down (feat. Mase),Diddy,rap,59,93,77,68,94
Hypnotize - 2007 Remaster,The Notorious B.I.G.,rap,68,90,69,63,94
Going Back To Cali,The Notorious B.I.G.,rap,1,88,55,57,99
Wanna Be A Baller,Lil' Troy,rap,63,87,65,63,92
Tha Crossroads,Bone Thugs-N-Harmony,rap,4,68,43,56,144
Feel so Good,Mase,rap,64,82,70,54,105
Sound of da Police,KRS-One,rap,62,79,95,32,95
Ileso,Control Machete,rap,30,48,90,51,89
Un Par De Balas,C-Kan,rap,57,82,81,79,172
Super MC's,Cartel De Santa,rap,41,88,75,55,92
Here Come the Horns,Delinquent Habits,rap,43,84,63,56,102
The Kind,Delinquent Habits,rap,19,69,84,42,97
No Hay Falla,TREN LOKOTE,rap,37,78,66,94,166
Conexión Vieja Escuela (feat. Sinful),Cartel De Santa,rap,43,73,68,55,96
Highlife,Cypress Hill,rap,33,70,80,73,109
Grita,Control Machete,rap,27,65,95,51,89
Adictos Por R.a.P,Maniako,rap,9,64,85,88,154
Nos Llaman Malandros,Berbal La 4 Verde,rap,0,80,69,88,170
Hola,Damaco,rap,17,78,73,56,132
Alcoholizados,La Santa Grifa,rap,50,69,72,59,75
Pow Wow Wow,Aleman,rap,24,75,66,73,83
Rivera Loca,Zimple,rap,0,70,85,46,168
Brand New,$ANFI,rap,16,72,71,24,77
I Felt Nothing,Prince of falls,rap,45,86,37,44,120
Irrelevant,Somber,rap,26,80,44,32,127
Wasting My Time,Tvbuu,rap,15,60,83,52,176
INSIDE,Night Lovell,rap,45,86,35,7,123
Laps,Zotiyac,rap,36,76,45,11,140
King Tulip,$uicideBoy$,rap,62,58,58,28,121
War in the East,Anonymuz,rap,27,82,61,32,120
Midnight Marauder,Ramirez,rap,40,70,90,68,175
LTE,$uicideBoy$,rap,66,78,49,4,106
Rxdical Forever,Anonymuz,rap,43,63,71,21,140
McDonalds Rich,SAINt JHN,rap,50,85,80,81,156
T.R.U. (Totally Rotten Underground),$uicideBoy$,rap,55,69,71,28,138
Troll Under the Bridge,gizmo,rap,30,74,93,18,125
Hades,Ghostemane,rap,56,83,59,33,113
Hold Uh,gizmo,rap,0,84,63,22,115
WhatWasThat,BONES,rap,0,72,52,13,100
Nightmare Choir (I Been Asleep Too Long),$uicideBoy$,rap,49,78,90,46,130
Exsanguination,Killstation,rap,38,61,66,6,117
who is he,Auxxk,rap,43,47,84,24,72
Antarctica,$uicideBoy$,rap,0,73,63,32,106
O Pana!,$uicideBoy$,rap,68,80,50,18,115
Goosebumps,$uicideBoy$,rap,49,89,74,44,130
Sea Sick,Fat Nick,rap,50,83,77,55,150
Scrying Through Shattered Glass,Ghostemane,rap,50,49,70,7,155
As Above so Look out Below,Ghostemane,rap,49,71,84,4,150
Blood,Thepoolboi,rap,40,84,71,4,120
ANSIA NO,FSK SATELLITE,rap,76,82,68,71,160
Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,rap,76,84,62,51,98
Candy,VillaBanks,rap,70,95,59,63,103
Tutto apposto (feat. Capo Plaza),Philip,rap,63,70,62,55,140
48H (feat. Sfera Ebbasta),Izi,rap,68,76,50,60,150
Mea Muri Tu (feat. MV Killa & Yung Snapp),Vale Lambo,rap,45,70,68,59,112
American Pie,Xamã,rap,66,58,47,32,130
Kallidade,Kalli,rap,69,78,48,30,100
Surtada,Neo Beats,rap,68,76,47,76,77
Multiplica,Meno Tody,rap,59,77,55,20,83
Malvadão 2,Xamã,rap,63,88,60,91,130
Tipo uma Glock,Jovem Dex,rap,61,88,56,46,140
Cabelinho Disfarçado,Bonde R300,rap,51,90,60,39,132
Plaqtudum,Recayd Mob,rap,67,89,74,7,122
Kylie Jenner,Derek,rap,54,87,67,39,140
Scotch,Sidoka,rap,60,63,67,18,130
Subiendo De Nivel,Jhay Cortez,rap,58,66,56,30,163
Suave - Remix,Jey Blessing,rap,70,67,69,78,176
Días Lluviosos (with Lenny Tavarez),Juhn,rap,69,81,57,54,140
YO LE LLEGO,J Balvin,rap,74,78,79,53,155
Deja Que Fluya,Lary Over,rap,64,63,59,36,172
Hennessy,Neutro Shorty,rap,61,72,51,38,136
Por Ley,Anuel AA,rap,65,73,83,47,138
El Día Que Muera,Ñejo,rap,51,84,57,46,146
Bipolar,Chris Jeday,rap,67,80,69,42,152
NICKI,Trill Pem,rap,66,79,52,7,137
PLIK,DZIARMA,rap,56,80,46,29,120
tęczowy music box,chillwagon,rap,59,68,72,84,147
Gwiazda,Mr. Polska,rap,55,93,60,57,125
BlaBlaCar (feat. Malik Montana),DMN,rap,55,80,66,69,166
Ucieknij ze mną,Żabson,rap,52,71,70,43,170
hot coffee,schafter,rap,63,74,58,50,144
Promienie Słońca,Young Igi,rap,52,79,60,66,150
Jagodzianki (prod.by Abel de Jong),Malik Montana,rap,62,96,66,80,127
Bonnie & Clyde,BLACHA,rap,48,76,63,26,97
Ghetto Flex,Kabe,rap,53,80,70,54,140
Dvd,Mlodyskiny,rap,55,82,49,66,85
Superman,Kubi Producent,rap,51,77,76,67,154
Noc,White 2115,rap,45,70,68,52,94
"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",Bizarrap,rap,70,93,41,45,120
Mentira,Kinder Malo,rap,55,65,46,53,140
Cara de Diablo,Midel,rap,66,79,72,56,75
"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,rap,77,81,88,65,127
A Punta de Espada,Duki,rap,41,80,64,49,90
"¿CÓMO TE VA, QUERIDA?",Rels B,rap,69,93,55,93,142
TRAPPERZ A Mafia Da Sicilia (feat. MC Davo & Fuego),Felp 22,rap,63,77,58,33,90
"Pekeño 77: Bzrp Music Sessions, Vol. 5",Bizarrap,rap,42,80,82,68,130
La Clase,Cazzu,rap,61,85,56,30,131
Humo en la Trampa,Aleman,rap,67,92,54,66,129
Disconnected,Lucchii,rap,36,51,88,32,128
Better Times,Psylla,rap,10,30,68,33,105
Lies - ATLAST Remix,KLOUD,rap,42,49,78,26,92
Sacrifice,Hex Cougar,rap,47,45,62,4,140
Awake,TWO LANES,rap,42,50,59,17,160
Keep Working,Vaski,rap,45,70,68,27,100
Out of Sight,N3WPORT,rap,49,37,76,20,170
Breathe,T-Mass,rap,32,51,85,23,160
The Voices,dreamEater,rap,48,41,85,15,180
Dance Monkey,Coopex,rap,57,57,77,24,98
Pull Me In,Inukshuk,rap,42,26,76,23,172
Lovely,Midsplit,rap,53,62,49,26,115
Eternal,Ericovich,rap,40,46,83,34,160
Believe I'm Leaving,Egzod,rap,49,47,80,24,78
Damage,Outr3ach,rap,42,60,56,24,75
Loco por Verte,Los Hitmen,rap,66,77,52,44,160
"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez",Mau y Ricky,rap,75,70,89,66,176
Nadie Como Tu,Amenazzy,rap,67,69,84,75,105
TE SUPERÉ,Becky G,rap,67,74,78,70,176
Tu Boca,Beéle,rap,56,83,60,69,95
MIAmi Ye,Roco,rap,52,82,86,57,100
Nivel,Lucho SSJ,rap,59,72,56,86,150
Te Traje Flores,Duki,rap,62,83,79,65,100
Calle 2 - Remix,FMK,rap,63,68,51,45,130
"Buenos Aires (feat. Khea, Bhavi)",Seven Kayne,rap,61,70,59,55,160
Glitter,Bhavi,rap,55,83,49,38,123
Ice,Ecko,rap,1,85,77,33,135
Ponte Pa' Mi (feat. Eladio Carrion),Neo Pistea,rap,49,72,57,81,140
Break of Dawn - Duke & Jones Remix,Yellow Claw,rap,49,77,75,21,145
GERONIMO (feat. Ace Hood),BLVK JVCK,rap,49,72,91,48,145
Reach For Me,Party Favor,rap,43,42,83,7,82
The Machine,Take/Five,rap,44,68,70,22,140
Earthquake,Marshmello,rap,59,45,97,43,75
Get Low,Fabian Mazur,rap,47,84,75,58,97
Life,Noise Cans,rap,50,66,93,87,160
Butterfly Effect,DJ Snake,rap,54,22,64,4,150
Fright,Dav the Ninja,rap,35,71,56,24,80
Anymore,Brevis,rap,39,58,71,29,140
Legacy,Onur Ormen,rap,5,59,58,12,140
UNDERGRND,UZ,rap,41,86,53,36,140
All About It (GTA & Cimo Fränkel),Good Times Ahead,rap,36,50,91,71,156
Show You,Noah Neiman,rap,35,72,95,71,110
The Cat,Eprom,rap,42,64,19,4,130
Flashbacks,Marshmello,rap,52,58,90,43,142
Fogo de Chão,Costa Gold,rap,57,90,83,71,125
Pianista da Rua 6,Tribo da Periferia,rap,62,70,50,35,140
Eu Tenho Drip,Derek,rap,57,88,40,48,122
Fé Pros Real,Kalli,rap,48,73,71,28,110
Divisor de Águas,Zeus,rap,38,88,64,56,130
Popeye,MC Igu,rap,52,87,43,52,140
Privê,Thiaguinho MT,rap,42,80,55,39,100
Deus e família,Delano,rap,64,71,63,59,120
TBT,Caverinha,rap,35,95,49,18,105
Sua Amiga Vai Querer,Funk-Se,rap,35,95,52,67,130
Pode Confiar,Mc Leo da Baixada,rap,34,60,68,46,90
Nossa Que Isso (feat. Mc Rebecca & MC Rogê),WC no Beat,rap,58,80,72,74,97
Em Off,Matheus Queiroz,rap,37,58,49,45,130
Plaqtudum - Tropkillaz Remix,Recayd Mob,rap,39,85,84,56,130
Trabalho Lindo,WC no Beat,rap,41,53,57,81,88
Estamos Bien,Bad Bunny,rap,10,79,56,47,120
Es Mejor,Rels B,rap,52,83,61,55,152
Perdóname,FMK,rap,61,70,41,12,130
She Don't Give a Fo,Duki,rap,71,85,56,34,120
"B.U.H.O (feat. Duki, Klave)",Midel,rap,59,90,72,51,128
Te Necesito,Bhavi,rap,56,80,69,52,123
High,Brytiago,rap,1,82,69,66,75
Galbi,Amorf,rap,5,44,59,24,150
Mirage,Nextro,rap,34,43,75,9,127
Token Baashi,CryJaxx,rap,0,67,90,23,150
Outlaws,Adro,rap,35,61,88,16,80
Sailor Mars,AxLi,rap,35,49,84,36,160
Maqlooba,VFM Style,rap,30,50,73,19,150
Leil Nhar,AxLi,rap,40,56,46,22,132
Magenta Riddim,DJ Snake,rap,15,60,90,59,102
only one,Promoting Sounds,rap,48,57,54,6,170
IT WAS ALL A LIE,Dutch Revz,rap,41,71,55,36,165
Without You,Promoting Sounds,rap,59,64,65,23,140
Flyaway,911headcase,rap,34,70,32,36,130
Bandit (with YoungBoy Never Broke Again),Juice WRLD,rap,92,47,63,42,180
Worst Day of My Life,Cal Scruby,rap,57,97,58,86,119
Lil Mama,Miles Wesley,rap,61,67,69,43,123
Did It Again,Lil Tecca,rap,41,70,57,23,149
Time In,Billy Marchiafava,rap,49,78,52,44,158
crash my whip,iann dior,rap,66,70,57,17,90
Alone,Lund,rap,64,74,36,4,120
Hostage,Unodavid,rap,3,70,39,51,160
Love Me,Lil Tecca,rap,13,71,37,83,204
Visão,2STRANGE,rap,24,74,66,54,78
Bipolar,Bonde R300,rap,37,90,44,26,118
DXAVADIN,NONSENSE,rap,31,74,58,59,120
