국가,코드,대륙,연도,지니계수(불평등)
Kyrgyzstan,KGZ,아시아,2024,0.275
Armenia,ARM,아시아,2024,0.274
Finland,FIN,유럽,2023,0.274
Tonga,TON,오세아니아,2021,0.271
Belgium,BEL,유럽,2023,0.268
Iceland,ISL,유럽,2019,0.268
Moldova,MDA,유럽,2023,0.268
Azerbaijan,AZE,아시아,2005,0.266
Norway,NOR,유럽,2023,0.265
Syria,SYR,아시아,2022,0.264
United Arab Emirates,ARE,아시아,2018,0.264
Czechia,CZE,유럽,2023,0.257
Netherlands,NLD,유럽,2021,0.257
Ukraine,UKR,유럽,2020,0.256
India,IND,아시아,2022,0.255
Kiribati,KIR,오세아니아,2023,0.247
Slovenia,SVN,유럽,2023,0.247
Belarus,BLR,유럽,2020,0.244
Slovakia,SVK,유럽,2023,0.238
