국가,코드,대륙,연도,연간 CO₂ 배출량
Maldives,MDV,아시아,2024,2306210
Curacao,CUW,북미,2024,2289628
Rwanda,RWA,아프리카,2024,2033550
Malawi,MWI,아프리카,2024,1881479
Malta,MLT,유럽,2024,1728766
South Sudan,SSD,아프리카,2024,1695552
Bhutan,BTN,아시아,2024,1657416
Fiji,FJI,오세아니아,2024,1445316
Sierra Leone,SLE,아프리카,2024,1434283
Barbados,BRB,북미,2024,1365171
Somalia,SOM,아프리카,2024,1319185
Macao,MAC,아시아,2024,1056328
Eswatini,SWZ,아프리카,2024,1044644
French Polynesia,PYF,오세아니아,2024,922867
Aruba,ABW,북미,2024,920644
Burundi,BDI,아프리카,2024,916664
Liberia,LBR,아프리카,2024,859369
Gambia,GMB,아프리카,2024,802774
Belize,BLZ,북미,2024,796027
Eritrea,ERI,아프리카,2024,742647
Faroe Islands,FRO,유럽,2024,725388
Sint Maarten (Dutch part),SXM,북미,2024,717645
East Timor,TLS,아시아,2024,668112
Antigua and Barbuda,ATG,북미,2024,665140
Seychelles,SYC,아프리카,2024,652571
Greenland,GRL,북미,2024,618963
Cape Verde,CPV,아프리카,2024,593786
Djibouti,DJI,아프리카,2024,564084
Comoros,COM,아프리카,2024,551650
Bermuda,BMU,북미,2024,550001
Saint Lucia,LCA,북미,2024,536909
Andorra,AND,유럽,2024,424663
Central African Republic,CAF,아프리카,2024,394681
Turks and Caicos Islands,TCA,북미,2024,378842
Grenada,GRD,북미,2024,376971
Guinea-Bissau,GNB,아프리카,2024,342189
Solomon Islands,SLB,오세아니아,2024,294648
Saint Kitts and Nevis,KNA,북미,2024,259757
Saint Vincent and the Grenadines,VCT,북미,2024,255657
Samoa,WSM,오세아니아,2024,245587
Palau,PLW,오세아니아,2024,226099
Vanuatu,VUT,오세아니아,2024,197079
British Virgin Islands,VGB,북미,2024,192507
Dominica,DMA,북미,2024,170858
Marshall Islands,MHL,오세아니아,2024,154480
Tonga,TON,오세아니아,2024,152540
Bonaire Sint Eustatius and Saba,BES,북미,2024,151882
Micronesia (country),FSM,오세아니아,2024,150626
Anguilla,AIA,북미,2024,148085
Sao Tome and Principe,STP,아프리카,2024,141779
Liechtenstein,LIE,유럽,2024,131624
Cook Islands,COK,오세아니아,2024,80083
Kiribati,KIR,오세아니아,2024,72456
Nauru,NRU,오세아니아,2024,61390
Saint Pierre and Miquelon,SPM,북미,2024,55322
Wallis and Futuna,WLF,오세아니아,2024,30508
Montserrat,MSR,북미,2024,26579
Tuvalu,TUV,오세아니아,2024,11440
Saint Helena,SHN,아프리카,2024,11391
Niue,NIU,오세아니아,2024,7627
Antarctica,ATA,기타,2024,0
Christmas Island,CXR,아시아,2024,0
