국가,코드,대륙,연도,실업률
Czechia,CZE,유럽,2025,2.83
Mali,MLI,아프리카,2025,2.83
Singapore,SGP,아시아,2025,2.82
Hong Kong,HKG,아시아,2025,2.8
Uganda,UGA,아프리카,2025,2.75
Senegal,SEN,아프리카,2025,2.73
South Korea,KOR,아시아,2025,2.68
Guinea-Bissau,GNB,아프리카,2025,2.67
Mexico,MEX,북미,2025,2.67
Guatemala,GTM,북미,2025,2.6
Papua New Guinea,PNG,오세아니아,2025,2.57
Japan,JPN,아시아,2025,2.45
Macao,MAC,아시아,2025,2.35
Cote d'Ivoire,CIV,아프리카,2025,2.32
Philippines,PHL,아시아,2025,2.23
Kuwait,KWT,아시아,2025,2.18
United Arab Emirates,ARE,아시아,2025,2.17
Russia,RUS,유럽,2025,2.13
Tonga,TON,오세아니아,2025,2.01
Togo,TGO,아프리카,2025,2.0
Cuba,CUB,북미,2025,1.75
Benin,BEN,아프리카,2025,1.59
East Timor,TLS,아시아,2025,1.59
Tanzania,TZA,아프리카,2025,1.57
Vietnam,VNM,아시아,2025,1.52
Moldova,MDA,유럽,2025,1.5
Solomon Islands,SLB,오세아니아,2025,1.43
Laos,LAO,아시아,2025,1.19
Bahrain,BHR,아시아,2025,1.1
Chad,TCD,아프리카,2025,1.06
Burundi,BDI,아프리카,2025,0.92
Thailand,THA,아시아,2025,0.78
Niger,NER,아프리카,2025,0.39
Cambodia,KHM,아시아,2025,0.26
Qatar,QAT,아시아,2025,0.13
