국가,코드,대륙,연도,극빈곤 인구비율
Netherlands,NLD,유럽,2021,0.1
South Korea,KOR,아시아,2021,0.1
Taiwan,TWN,아시아,2021,0.1
Algeria,DZA,아프리카,2011,0.0
Azerbaijan,AZE,아시아,2005,0.0
Belarus,BLR,유럽,2020,0.0
Bhutan,BTN,아시아,2022,0.0
China,CHN,아시아,2022,0.0
Cyprus,CYP,유럽,2023,0.0
Czechia,CZE,유럽,2023,0.0
Kazakhstan,KAZ,아시아,2021,0.0
Malaysia,MYS,아시아,2021,0.0
Maldives,MDV,아시아,2019,0.0
Qatar,QAT,아시아,2017,0.0
Russia,RUS,유럽,2020,0.0
Slovenia,SVN,유럽,2023,0.0
Thailand,THA,아시아,2024,0.0
Ukraine,UKR,유럽,2020,0.0
United Arab Emirates,ARE,아시아,2018,0.0
