연도,도시,지역,국가,모양,지속초,시간대
2022,Pinehurst,NC,US,NA,900,night
2022,Los Angeles,CA,US,NA,1200,afternoon
2022,Tacoma,WA,US,NA,240,night
2021,Cranston,RI,US,NA,180,afternoon
2021,Ormond Beach,FL,US,NA,300,astronomical dawn
2020,Firestone,CO,US,NA,300,astronomical dusk
2020,San Diego,CA,US,NA,1800,night
2020,Bohmte,Lower Saxony,DE,NA,1200,night
2019,Wetaskiwin,AB,CA,NA,300,night
2019,Gilbert,AZ,US,NA,60,night
2019,Colorado Springs,CO,US,NA,10,morning
2019,Raleigh,NC,US,NA,900,nautical dawn
2019,Saratoga Springs,NY,US,NA,60,morning
2018,North Creek,NY,US,NA,1800,night
2018,Fort Bragg,CA,US,NA,180,night
2017,Toronto,ON,CA,NA,15,morning
2017,Nashville,TN,US,NA,300,night
2017,Kingfield,ME,US,NA,180,afternoon
2016,Grayling,MI,US,NA,10,night
2016,Nanaimo,BC,CA,NA,120,NA
2016,Boise,ID,US,NA,120,astronomical dusk
2015,Boston,MA,US,NA,30,night
2015,Wichita,KS,US,NA,5,night
2015,Tullytown,PA,US,NA,86400,night
2015,Spokane,WA,US,NA,2700,astronomical dusk
2015,Gilbert,AZ,US,NA,10,morning
2014,Burien,WA,US,NA,2100,night
2014,Visalia,CA,US,NA,30,nautical dawn
2014,Franklin,NH,US,NA,45,night
2014,San Antonio,TX,US,NA,600,afternoon
2014,Hot Springs,AR,US,NA,300,night
2013,Coral Gables,FL,US,NA,60,night
2013,Ludington,MI,US,NA,2100,night
2013,Kingston,GA,US,NA,180,astronomical dawn
2012,Conneaut,OH,US,NA,1200,night
2012,Sturbridge,MA,US,NA,10,morning
2012,Blue Point,NY,US,NA,25,nautical dawn
2012,Seattle,WA,US,NA,120,night
2011,Palm Springs,CA,US,NA,5,nautical dusk
2011,Blanchester,OH,US,NA,3,night
2010,Seabeck,WA,US,NA,900,astronomical dusk
2010,Reading,PA,US,NA,15,nautical dusk
2009,Selah,WA,US,NA,180,night
2009,Eagan,MN,US,NA,600,astronomical dusk
2009,Allentown,PA,US,NA,15,night
2008,Coolidge,AZ,US,NA,3,night
2008,Miami,FL,US,NA,60,astronomical dusk
2007,Cheney,WA,US,NA,10,nautical dusk
2007,Russellville,MO,US,NA,86400,night
2006,Shakopee,MN,US,NA,120,night
2005,Santa Maria,CA,US,NA,60,night
2005,Hillsboro,OR,US,NA,3,night
2004,Albuquerque,NM,US,NA,300,afternoon
2004,Norwalk,CA,US,NA,300,night
2003,South Bend,IN,US,NA,900,civil dawn
2003,Puyallup,WA,US,NA,20,afternoon
2002,Terrace,BC,CA,NA,90,night
2002,Los Angeles,CA,US,NA,240,afternoon
2001,Vancouver,WA,US,NA,60,NA
2000,Oshkosh,WI,US,NA,900,night
2000,Duluth,MN,US,NA,7,night
1999,Tucson,AZ,US,NA,5,night
1999,Ontario,NY,US,NA,5,night
1998,Lowell,IN,US,NA,30,night
1997,Stanwood,WA,US,NA,3,nautical dusk
1996,Portland,OR,US,NA,120,astronomical dawn
1996,Los Angeles,CA,US,NA,25,night
1996,Longmont,CO,US,NA,120,night
1996,Chicago,IL,US,NA,240,afternoon
1996,Everett,WA,US,NA,20,nautical dusk
1996,Merced,CA,US,NA,10,nautical dusk
1996,Baltimore,MD,US,NA,5,night
1996,Portland,OR,US,NA,3,night
1996,Redmond,WA,US,NA,60,night
1996,Eureka,CA,US,NA,240,night
1996,Wenatchee,WA,US,NA,660,night
1995,Waukesha,WI,US,NA,2,nautical dusk
1995,Phoenix,AZ,US,NA,300,civil dusk
1995,Auburn,WA,US,NA,10,night
1995,Johnson City,TN,US,NA,900,night
1995,New York City,NY,US,NA,720,nautical dusk
1995,Lake Charles,LA,US,NA,180,night
1995,Orangeburg,NY,US,NA,900,night
1995,Castle Rock,CO,US,NA,600,night
1995,Fontana,CA,US,NA,600,night
1995,Seattle,WA,US,NA,30,nautical dusk
1995,Bellevue,WA,US,NA,10,night
1995,Riverside,CA,US,NA,1200,night
1995,Auburn,WA,US,NA,60,morning
1995,Fall River,MA,US,NA,120,astronomical dusk
1995,Olympia,WA,US,NA,60,NA
1995,Lake Oswego,OR,US,NA,1800,astronomical dusk
1995,Fargo,ND,US,NA,120,night
1995,Placerville,CA,US,NA,5,night
1995,Flint,MI,US,NA,900,astronomical dusk
1995,Portland,OR,US,NA,2,night
1995,Auburn,WA,US,NA,2700,night
1995,Elizabethtown,KY,US,NA,4500,night
1995,Vienna,VA,US,NA,2,civil dusk
1995,Redmond,WA,US,NA,5,night
1992,Sedgefield,ENG,GB,NA,5,NA
1984,Griffin,GA,US,NA,30,afternoon
1977,Sacramento,CA,US,NA,600,astronomical dusk
1973,Appleton,WI,US,NA,40,night
1961,Carrollton,TX,US,NA,60,afternoon
2023,Lansing,MI,US,changing,2400,morning
2023,Zebulon,NC,US,changing,300,night
2022,Ocala,FL,US,changing,60,night
2022,Santa Clara,CA,US,changing,3,night
2022,Pedricktown,NJ,US,changing,180,civil dawn
2022,Lansdale,PA,US,changing,60,morning
2022,Portland,OR,US,changing,180,NA
2022,Cassville,MO,US,changing,900,night
2022,Russellville,AR,US,changing,600,night
2021,Sequim,WA,US,changing,300,night
2021,Whittier,CA,US,changing,180,afternoon
2021,Manchester,ENG,GB,changing,600,NA
2021,Iowa Falls,IA,US,changing,840,night
2020,McMinnville,OR,US,changing,300,night
2020,Alexandria,VA,US,changing,540,civil dusk
2020,Salina,KS,US,changing,3,night
2020,Colorado Springs,CO,US,changing,600,morning
2020,Georgetown,NY,US,changing,180,night
2020,Baker city,OR,US,changing,18000,night
2019,Monticello,IN,US,changing,900,night
2019,Irving,TX,US,changing,600,afternoon
2019,Kodiak,AK,US,changing,15,NA
2019,San Diego,CA,US,changing,1200,morning
2019,Spring City,TN,US,changing,60,morning
2018,Springfield,MO,US,changing,20,night
2018,Palm Springs,CA,US,changing,720,nautical dusk
2018,Joliet,IL,US,changing,540,afternoon
2018,Shaver Lake,CA,US,changing,5,morning
2017,Abington,MA,US,changing,600,night
2017,Treasure Island,FL,US,changing,2700,night
2017,Buffalo,NY,US,changing,600,nautical dusk
2017,Atlanta,GA,US,changing,90,afternoon
2017,Tallahassee,FL,US,changing,120,night
2016,Butte,MT,US,changing,900,afternoon
2016,Salt Lake City,UT,US,changing,120,night
2016,Blackwood,NJ,US,changing,600,night
2016,Olympia,WA,US,changing,3,nautical dusk
2015,Bessemer City,NC,US,changing,20,morning
2015,Los Angeles,CA,US,changing,900,night
2015,Diamond Bar,CA,US,changing,30,civil dawn
2015,Columbus,OH,US,changing,120,nautical dusk
2015,Ocean City,NJ,US,changing,780,astronomical dusk
2015,Holland,MI,US,changing,3300,night
2015,Elizabethtown,PA,US,changing,1200,night
2014,Mobile,AL,US,changing,1200,night
2014,Austin,TX,US,changing,1200,night
2014,Eugene,OR,US,changing,60,night
2014,Camden,SC,US,changing,600,night
2014,Vandalia,OH,US,changing,900,astronomical dusk
2014,Honolulu,HI,US,changing,120,nautical dusk
2014,Clovis,NM,US,changing,60,night
2014,Kent,WA,US,changing,300,night
2013,Pompano Beach,FL,US,changing,360,civil dusk
2013,Fort Myers,FL,US,changing,3600,civil dusk
2013,Sacramento,CA,US,changing,600,astronomical dusk
2013,Hamilton,OH,US,changing,180,nautical dusk
2013,Cottage Grove,MN,US,changing,7,night
2013,Yakima,WA,US,changing,480,afternoon
2012,Pittsburgh,PA,US,changing,180,nautical dusk
2012,Portland,OR,US,changing,600,night
2012,Lake Wales,FL,US,changing,18000,night
2012,Murrells Inlet,SC,US,changing,240,morning
2012,Grand Prairie,TX,US,changing,45,night
2012,Bishopville,SC,US,changing,600,astronomical dusk
2012,Richmond,VA,US,changing,900,night
2012,New Hartford,NY,US,changing,120,night
2011,Bend,OR,US,changing,1200,astronomical dusk
2011,Kennewick,WA,US,changing,1500,nautical dusk
2011,beaver dam,WI,US,changing,900,civil dusk
2011,Santa Barbara,CA,US,changing,240,night
2010,West Covina,CA,US,changing,180,morning
2010,Salem,OR,US,changing,180,night
2010,Victor,ID,US,changing,600,morning
2010,Phoenix,AZ,US,changing,7,morning
2010,Winnie,TX,US,changing,1020,night
2009,Selby,ENG,GB,changing,240,astronomical dusk
2009,McArthur,OH,US,changing,2700,afternoon
2009,Chillicothe,OH,US,changing,10,night
2009,Round Rock,TX,US,changing,86400,night
2008,Crystal river,FL,US,changing,300,morning
2008,Fremont,CA,US,changing,180,night
2008,Jensen Beach,FL,US,changing,2400,night
2008,Springdale,AR,US,changing,300,afternoon
2008,San Francisco,CA,US,changing,60,night
2007,San Diego,CA,US,changing,900,night
2007,Orem,UT,US,changing,180,morning
2007,Cottonwood,CA,US,changing,900,night
2007,Phoenix,AZ,US,changing,2700,night
2006,Orlando,FL,US,changing,20,morning
2006,Coventry,ENG,GB,changing,300,afternoon
2006,Riverton,IL,US,changing,300,morning
2006,Albuquerque,NM,US,changing,60,afternoon
2005,Surprise,AZ,US,changing,300,astronomical dusk
2005,Winooski,VT,US,changing,120,civil dusk
2005,Bayonne,NJ,US,changing,120,afternoon
2005,Deming,NM,US,changing,1200,afternoon
2004,Chillicothe,OH,US,changing,86400,morning
2004,Tullahoma,TN,US,changing,86400,civil dusk
2004,Toronto,ON,CA,changing,1200,night
2004,Methuen,MA,US,changing,300,night
2003,Austin,TX,US,changing,45,night
2003,North Little Rock,AR,US,changing,300,night
2003,Gilroy,CA,US,changing,5,astronomical dusk
2003,Davie,FL,US,changing,300,nautical dusk
2002,Santa Cruz,CA,US,changing,10,night
2002,Windsor,ON,CA,changing,2100,night
2002,Visalia,CA,US,changing,300,morning
2002,Allegany,NY,US,changing,600,morning
2001,Phoenix,AZ,US,changing,120,night
2001,Cypress,TX,US,changing,300,afternoon
2001,San Jose,CA,US,changing,120,afternoon
2000,Lyndhurst,VA,US,changing,180,afternoon
2000,New York City,NY,US,changing,300,afternoon
1999,Stockholm,Stockholm,SE,changing,10,astronomical dusk
1999,Jacksonville,FL,US,changing,30,afternoon
1998,Corunna,MI,US,changing,60,morning
1998,Wyoming,MI,US,changing,60,civil dawn
1996,Fayetteville,AR,US,changing,5280,afternoon
1994,Carbonado,WA,US,changing,1800,night
1989,Grand Junction,CO,US,changing,1800,morning
1982,Slidell,LA,US,changing,1200,morning
1976,Dayton,OH,US,changing,10,afternoon
2023,Grand Island,NE,US,chevron,30,night
2022,Baltimore,MD,US,chevron,1200,night
2022,Jacksonville,FL,US,chevron,60,morning
2021,Miramar,FL,US,chevron,8,night
2021,Buda,TX,US,chevron,4,night
2020,Burnet,TX,US,chevron,14400,night
2020,Bradenton,FL,US,chevron,3,night
2019,Gold Canyon,AZ,US,chevron,300,astronomical dusk
2019,Mount Shasta,CA,US,chevron,8,morning
2019,Ashland City,TN,US,chevron,300,night
2018,East Prairie,MO,US,chevron,300,night
2018,Franklin,IL,US,chevron,120,afternoon
2017,Huntsville,AL,US,chevron,5,night
2017,Worcester,MA,US,chevron,120,astronomical dusk
2017,Gemmrigheim,Baden-Wurttemberg,DE,chevron,30,civil dusk
2016,Largo,FL,US,chevron,120,morning
2016,Orem,UT,US,chevron,10,morning
2016,Saint Charles,MO,US,chevron,180,night
2015,El Cajon,CA,US,chevron,300,night
2015,Orlando,FL,US,chevron,20,night
2015,Townsend,MA,US,chevron,360,astronomical dawn
2015,Port Charlotte,FL,US,chevron,180,night
2014,Anaheim,CA,US,chevron,60,night
2014,Sanbornville,NH,US,chevron,600,night
2014,Montreal,QC,CA,chevron,30,NA
2014,Jacksonville,NC,US,chevron,20,night
2013,Ralston,NE,US,chevron,10,night
2013,West Hartford,CT,US,chevron,86400,night
2013,Langley,WA,US,chevron,120,night
2012,Stephenville,TX,US,chevron,15,night
2012,Westwood,NJ,US,chevron,120,night
2012,Carteret,NJ,US,chevron,10,civil dawn
2011,Omaha,NE,US,chevron,60,night
2010,West Hills,CA,US,chevron,600,night
2010,Yuba City,CA,US,chevron,30,night
2010,Corvallis,OR,US,chevron,120,night
2009,Charlotte,NC,US,chevron,5,night
2008,Jacksonville,NC,US,chevron,45,night
2008,Lindale,TX,US,chevron,50,afternoon
2008,Tampa,FL,US,chevron,20,night
2007,Clifton Forge,VA,US,chevron,300,night
2007,Birmingham,AL,US,chevron,5,morning
2006,Marked Tree,AR,US,chevron,30,night
2006,Campbell,CA,US,chevron,60,afternoon
2005,Salem,OR,US,chevron,0,night
2005,Eagan,MN,US,chevron,10,night
2004,Bengaluru,Karnataka,IN,chevron,12,civil dawn
2004,Eugene,OR,US,chevron,4,night
2004,Fort Collins,CO,US,chevron,15,night
2003,Independence,MO,US,chevron,600,night
2003,Albuquerque,NM,US,chevron,900,night
2002,West Linn,OR,US,chevron,120,night
2002,Elmwood,IL,US,chevron,5,night
2002,Franklin,TN,US,chevron,2700,afternoon
2001,Galena,MO,US,chevron,600,astronomical dusk
2001,Chicago,IL,US,chevron,20,nautical dusk
2000,Warrington,FL,US,chevron,120,nautical dusk
1999,Denver,CO,US,chevron,600,astronomical dusk
1999,Independence,MO,US,chevron,15,night
1999,Austin,TX,US,chevron,7,night
1997,Burnaby,BC,CA,chevron,60,night
1997,Phoenix,AZ,US,chevron,300,night
1995,Cancun,Quintana Roo,MX,chevron,600,night
1989,Kent,CT,US,chevron,120,night
1983,Bedford Hills,NY,US,chevron,600,astronomical dusk
1977,Lake Worth,TX,US,chevron,1200,civil dusk
1953,Haverhill,MA,US,chevron,10,NA
2023,Longview,NC,US,cigar,180,civil dawn
2022,Toronto,ON,CA,cigar,3,morning
2022,Lakewood,NY,US,cigar,90,nautical dusk
2022,Pueblo,CO,US,cigar,600,night
2022,Rochester,MN,US,cigar,20,night
2022,Huejotzingo,Puebla,MX,cigar,300,afternoon
2021,Adelaide,South Australia,AU,cigar,180,night
2021,Clearwater,FL,US,cigar,5,astronomical dawn
2021,Eunice,LA,US,cigar,6,night
2021,Charleston,WV,US,cigar,900,night
2020,Sterling Heights,MI,US,cigar,30,astronomical dusk
2020,Bradenton,FL,US,cigar,60,night
2020,Nashua,NH,US,cigar,420,night
2020,Crystal River,FL,US,cigar,20,afternoon
2020,Littleton,CO,US,cigar,30,NA
2019,Wilmington,NC,US,cigar,10,night
2019,Tewksbury,MA,US,cigar,420,nautical dawn
2019,East Canton,OH,US,cigar,60,afternoon
2019,Astoria,NY,US,cigar,240,civil dusk
2019,Wimberley,TX,US,cigar,600,afternoon
2019,New York City,NY,US,cigar,240,nautical dusk
2019,Needles,CA,US,cigar,12,night
2018,Knox,IN,US,cigar,300,morning
2018,Spring,TX,US,cigar,1200,afternoon
2018,South Bend,IN,US,cigar,40,morning
2018,Mesa,AZ,US,cigar,15,morning
2017,Rochester,NH,US,cigar,1200,night
2017,Gulfport,MS,US,cigar,1200,night
2017,Tampa,FL,US,cigar,180,morning
2017,Tralee,NA,IE,cigar,420,afternoon
2016,Virginia Beach,VA,US,cigar,37,night
2016,Seattle,WA,US,cigar,30,night
2016,Richmond,KY,US,cigar,120,morning
2016,Lecanto,FL,US,cigar,60,civil dusk
2015,Londonderry,NH,US,cigar,300,night
2015,Barnegat,NJ,US,cigar,600,night
2015,Orlando,FL,US,cigar,300,afternoon
2015,Smyrna,GA,US,cigar,0,night
2015,Jackson,TN,US,cigar,60,morning
2014,Edmonds,WA,US,cigar,60,night
2014,Sanibel,FL,US,cigar,900,afternoon
2014,Huntsville,AL,US,cigar,5,civil dusk
2014,Mount Gilead,NC,US,cigar,120,civil dusk
2014,Unadilla,GA,US,cigar,15,astronomical dusk
2014,Arlington,VA,US,cigar,1,afternoon
2013,Little Rock,AR,US,cigar,180,astronomical dawn
2013,Woodbridge,VA,US,cigar,300,morning
2013,Cedar Park,TX,US,cigar,8,morning
2013,Norman,OK,US,cigar,15,afternoon
2013,Coventry,ENG,GB,cigar,4,morning
2012,Blue Springs,MO,US,cigar,20,night
2012,New York City,NY,US,cigar,120,nautical dusk
2012,Trumbull,CT,US,cigar,240,night
2012,Kernersville,NC,US,cigar,300,afternoon
2012,Hawthorne,NY,US,cigar,4,night
2011,Lebanon,ME,US,cigar,300,night
2011,Lawrenceville,GA,US,cigar,300,afternoon
2011,Miami,FL,US,cigar,120,night
2010,Santa Paula,CA,US,cigar,2100,night
2010,Derby,CT,US,cigar,1800,night
2010,Alpharetta,GA,US,cigar,120,night
2010,La Palma,CA,US,cigar,300,night
2009,Port Saint Lucie,FL,US,cigar,120,night
2009,Barrie,ON,CA,cigar,120,night
2009,Palm Springs,CA,US,cigar,15,night
2009,Jacksonville Beach,FL,US,cigar,1200,night
2008,Osceola,NE,US,cigar,30,morning
2008,Beach Park,IL,US,cigar,120,night
2008,Playa de las Americas,Canary Islands,ES,cigar,1,morning
2008,Orange,TX,US,cigar,45,morning
2008,Port Richey,FL,US,cigar,2,nautical dusk
2007,New York City,NY,US,cigar,60,night
2007,Denver,CO,US,cigar,60,afternoon
2007,Halifax,NS,CA,cigar,480,night
2007,Richmond,IN,US,cigar,40,night
2007,Sacramento,CA,US,cigar,20,morning
2006,Pittsburg,CA,US,cigar,1200,night
2006,Albuquerque,NM,US,cigar,15,morning
2006,Oak Ridge,TN,US,cigar,180,afternoon
2006,Quapaw,OK,US,cigar,5,afternoon
2005,Wichita,KS,US,cigar,300,night
2005,Wendover,UT,US,cigar,30,night
2005,Killeen,TX,US,cigar,10,morning
2005,Baldwin,WI,US,cigar,240,afternoon
2004,Norwalk,CA,US,cigar,30,night
2004,Littleton,CO,US,cigar,5,afternoon
2004,Boston,MA,US,cigar,15,morning
2004,Buffalo,NY,US,cigar,10,afternoon
2004,San Diego,CA,US,cigar,300,night
2003,Chiefland,FL,US,cigar,180,afternoon
2003,Des Moines,WA,US,cigar,10,morning
2003,Burnsville,MN,US,cigar,2,morning
2003,Baltimore,MD,US,cigar,900,night
2002,Charlotte,NC,US,cigar,3,afternoon
2002,Sherman,NY,US,cigar,45,afternoon
2002,Elk City,OK,US,cigar,300,astronomical dawn
2001,Omaha,NE,US,cigar,300,afternoon
2001,North Las Vegas,NV,US,cigar,7,morning
2001,Valentine,NE,US,cigar,300,night
2000,Markham,ON,CA,cigar,600,morning
2000,Monterey Park,CA,US,cigar,1500,night
2000,Santa Cruz,CA,US,cigar,300,night
1999,El Centro,CA,US,cigar,120,afternoon
1999,Santa Barbara,CA,US,cigar,10,night
1999,Salida,CO,US,cigar,180,nautical dusk
1998,Santiago,Santiago Metropolitan,CL,cigar,3,nautical dusk
1998,Kalkaska,MI,US,cigar,300,morning
1997,Billings,MT,US,cigar,8,afternoon
1995,Effingham,IL,US,cigar,30,nautical dusk
1993,Grand Rapids,MI,US,cigar,30,night
1991,Portland,OR,US,cigar,60,afternoon
1988,Sydney,New South Wales,AU,cigar,180,night
1986,Clarkton,NC,US,cigar,7,afternoon
1981,Campbell,CA,US,cigar,180,night
1978,Bristol,ENG,GB,cigar,240,NA
1977,Shaver Lake,CA,US,cigar,240,night
1976,Wurtland,KY,US,cigar,86400,night
1974,Irmo,SC,US,cigar,300,night
1973,Mayfield,KY,US,cigar,30,afternoon
1969,Fulton,NY,US,cigar,600,night
1968,Oakland,CA,US,cigar,300,afternoon
1967,Norwalk,OH,US,cigar,120,NA
1964,Duquesne,PA,US,cigar,600,afternoon
1958,Baldwin Park,CA,US,cigar,300,morning
1953,Merryville,LA,US,cigar,300,NA
2023,Norlina,NC,US,circle,300,astronomical dusk
2023,Roseburg,OR,US,circle,240,NA
2023,Port Rowan,ON,CA,circle,1800,night
2023,Davis,CA,US,circle,420,night
2022,Franklin,NC,US,circle,300,afternoon
2022,Sacramento,CA,US,circle,60,astronomical dusk
2022,Oxford,MI,US,circle,300,night
2022,Knoxville,TN,US,circle,10,morning
2022,andrews afb,MD,US,circle,10,morning
2022,Ardmore,OK,US,circle,1200,astronomical dawn
2022,Great Falls,MT,US,circle,60,morning
2022,Burnet,TX,US,circle,300,nautical dawn
2022,Smithtown,NY,US,circle,8,night
2022,Stamford,CT,US,circle,600,night
2022,Toronto,ON,CA,circle,10,astronomical dusk
2022,Farmington,NM,US,circle,23,civil dusk
2022,Chickasaw,AL,US,circle,1500,night
2022,Danbury,CT,US,circle,480,night
2022,Raleigh,NC,US,circle,25,night
2021,King,NC,US,circle,3,night
2021,Tonganoxie,KS,US,circle,600,night
2021,Portage,IN,US,circle,180,night
2021,Darien,CT,US,circle,60,night
2021,Aubrey,TX,US,circle,180,astronomical dusk
2021,Williams Bay,WI,US,circle,30,astronomical dusk
2021,Naples,FL,US,circle,600,morning
2021,Carson City,NV,US,circle,600,night
2021,Windber,PA,US,circle,900,nautical dawn
2021,Georgetown,TX,US,circle,1200,night
2020,Hastings,FL,US,circle,600,night
2020,Stillwater,OK,US,circle,240,night
2020,Olympia,WA,US,circle,2700,morning
2020,Charlottesville,VA,US,circle,60,astronomical dawn
2020,Medina,OH,US,circle,10,afternoon
2020,Utica,NY,US,circle,120,afternoon
2020,Birmingham,MI,US,circle,420,afternoon
2020,Saskatoon,SK,CA,circle,7,night
2020,Mesa,AZ,US,circle,120,astronomical dusk
2020,Black Diamond,WA,US,circle,600,nautical dusk
2020,Sandy Lake,PA,US,circle,180,night
2020,Salina,KS,US,circle,300,astronomical dusk
2020,Oak Island,NC,US,circle,15,nautical dusk
2020,Highland,CA,US,circle,600,night
2020,Louisville,KY,US,circle,600,afternoon
2020,Hudson,MI,US,circle,1200,morning
2020,Los Angeles,CA,US,circle,86400,night
2020,Louisville,KY,US,circle,600,morning
2020,Bishop,CA,US,circle,1500,nautical dusk
2020,Hesperia,CA,US,circle,300,astronomical dusk
2020,South Bend,IN,US,circle,20,astronomical dawn
2020,Fort Collins,CO,US,circle,1200,astronomical dusk
2020,Milwaukee,WI,US,circle,1080,nautical dusk
2020,Lexington,KY,US,circle,600,night
2020,Vista,CA,US,circle,120,morning
2020,Los Angeles,CA,US,circle,600,night
2020,Peterborough,ON,CA,circle,60,afternoon
2020,Lincoln,MA,US,circle,3,night
2019,Brownsville,TN,US,circle,180,night
2019,Valrico,FL,US,circle,30,afternoon
2019,Independence,MO,US,circle,60,morning
2019,Alexandria,VA,US,circle,600,morning
2019,Deer Park,NY,US,circle,40,afternoon
2019,San Diego,CA,US,circle,7,morning
2019,Piedmont,SC,US,circle,3,afternoon
2019,Colts Neck,NJ,US,circle,30,night
2019,Albuquerque,NM,US,circle,30,nautical dawn
2019,Paulsboro,NJ,US,circle,45,night
2019,Thornton,CO,US,circle,120,night
2019,Grand Rapids,MI,US,circle,120,night
2019,Apollo beach,FL,US,circle,600,night
2019,Knoxville,TN,US,circle,600,civil dusk
2019,Nutley,NJ,US,circle,120,civil dusk
2019,West Babylon,NY,US,circle,20,astronomical dusk
2019,Marlton,NJ,US,circle,60,nautical dusk
2019,Fairborn,OH,US,circle,300,afternoon
2019,Portsmouth,VA,US,circle,180,nautical dusk
2019,Perry,OK,US,circle,1800,night
2019,Clarkesville,GA,US,circle,120,night
2019,Orlando,FL,US,circle,180,night
2019,Rogue River,OR,US,circle,180,nautical dusk
2019,Toms River,NJ,US,circle,600,night
2019,Cathedral City,CA,US,circle,5,night
2019,Pacifica,CA,US,circle,1200,night
2018,Junction City,OR,US,circle,2700,night
2018,Fort Myers,FL,US,circle,300,night
2018,Wallingford,CT,US,circle,240,astronomical dusk
2018,Newark,NJ,US,circle,1800,astronomical dusk
2018,Hyattsville,MD,US,circle,300,afternoon
2018,Lone Tree,CO,US,circle,180,afternoon
2018,Seaside,OR,US,circle,300,NA
2018,Waco,TX,US,circle,120,night
2018,Windsor,ON,CA,circle,60,civil dusk
2018,Ridgefield,CT,US,circle,86400,night
2018,Everett,WA,US,circle,90,night
2018,Roanoke Rapids,NC,US,circle,900,civil dusk
2018,Port Saint Lucie,FL,US,circle,300,night
2017,Temecula,CA,US,circle,300,nautical dusk
2017,Tulsa,OK,US,circle,300,night
2017,Mount Laurel,NJ,US,circle,2,astronomical dusk
2017,Bullhead City,AZ,US,circle,30,night
2017,Magna,UT,US,circle,5,night
2017,Moravia,NY,US,circle,86400,night
2017,Oakdale,MN,US,circle,10,night
2017,Rome,NY,US,circle,1,morning
2017,Sandown,NH,US,circle,30,astronomical dusk
2017,Sarasota,FL,US,circle,1800,night
2017,Saint Augustine Beach,FL,US,circle,180,astronomical dusk
2017,Massapequa,NY,US,circle,60,nautical dawn
2017,Old Bridge,NJ,US,circle,60,afternoon
2017,Eminence,MO,US,circle,30,nautical dusk
2017,Tucson,AZ,US,circle,6,night
2017,El Mirage,AZ,US,circle,30,night
2017,Lexington,KY,US,circle,720,night
2017,Tinley Park,IL,US,circle,1,night
2017,Suffolk,VA,US,circle,10,night
2017,Lutz,FL,US,circle,1200,night
2017,Winter Haven,FL,US,circle,600,night
2017,Saint George,UT,US,circle,600,night
2016,Cathedral City,CA,US,circle,1800,night
2016,Hot Springs,SD,US,circle,480,night
2016,Longmont,CO,US,circle,5,morning
2016,Centerville,OH,US,circle,180,night
2016,Point Pleasant,WV,US,circle,60,astronomical dusk
2016,Grovetown,GA,US,circle,86400,night
2016,Grandview,WA,US,circle,180,night
2016,El Mirage,AZ,US,circle,600,night
2016,Warren,PA,US,circle,180,morning
2016,Utica,NY,US,circle,6,morning
2016,Cornelius,NC,US,circle,3,night
2016,Overland Park,KS,US,circle,120,morning
2016,Ukiah,CA,US,circle,40,astronomical dusk
2016,Owings Mills,MD,US,circle,600,astronomical dusk
2016,Palm Harbor,FL,US,circle,30,night
2016,Brigantine,NJ,US,circle,180,night
2016,Park Rapids,MN,US,circle,300,NA
2016,Missoula,MT,US,circle,180,astronomical dusk
2016,Puyallup,WA,US,circle,120,nautical dusk
2016,Oak Island,NC,US,circle,1800,nautical dusk
2016,Miami,FL,US,circle,300,nautical dusk
2016,Parry Sound,ON,CA,circle,600,night
2016,Oak Island,NC,US,circle,2700,night
2016,Roseburg,OR,US,circle,10,astronomical dusk
2016,North Hollywood,CA,US,circle,10,night
2015,Santa Maria,CA,US,circle,30,night
2015,Racine,WI,US,circle,1,afternoon
2015,Tiverton,RI,US,circle,300,afternoon
2015,Pittsburgh,PA,US,circle,3,night
2015,Walnut Creek,CA,US,circle,180,astronomical dusk
2015,Hagerstown,MD,US,circle,49,afternoon
2015,Lakes Entrance,Victoria,AU,circle,5,afternoon
2015,Citrus springs,FL,US,circle,30,night
2015,Las Vegas,NV,US,circle,900,nautical dusk
2015,Gainesville,GA,US,circle,5400,night
2015,Mathis,TX,US,circle,300,astronomical dusk
2015,Bridgton,ME,US,circle,300,astronomical dusk
2015,Easton,PA,US,circle,600,afternoon
2015,Lakeville,MN,US,circle,86400,night
2015,Woodstock,IL,US,circle,240,nautical dusk
2015,Rocky Mount,NC,US,circle,86400,night
2015,New Bern,NC,US,circle,5,night
2015,Carson city,NV,US,circle,600,astronomical dusk
2015,Shirley,NY,US,circle,60,afternoon
2015,Florence,OR,US,circle,900,night
2015,Towson,MD,US,circle,600,astronomical dusk
2015,Pike Creek,DE,US,circle,600,astronomical dusk
2015,Orange City,FL,US,circle,5,night
2015,Surprise,AZ,US,circle,180,night
2015,Frisco,TX,US,circle,300,night
2015,Fountain Hills,AZ,US,circle,900,night
2015,Lakewood,CO,US,circle,60,night
2015,Jeddah,Mecca Region,SA,circle,3,morning
2015,Apopka,FL,US,circle,900,night
2015,Harrison,OH,US,circle,180,astronomical dusk
2014,Colorado Springs,CO,US,circle,120,night
2014,Sulphur,LA,US,circle,480,astronomical dusk
2014,Saint Augustine,FL,US,circle,120,night
2014,Spring,TX,US,circle,180,night
2014,Munhall,PA,US,circle,120,night
2014,Orlando,FL,US,circle,20,astronomical dusk
2014,Panama City Beach,FL,US,circle,2,night
2014,Evansville,IN,US,circle,180,morning
2014,Oshawa,ON,CA,circle,180,night
2014,Kailua,HI,US,circle,600,night
