국가,코드,대륙,연도,문해율
Iraq,IRQ,아시아,2021,84.1
French Guiana,GUF,남미,1982,82.9
Andorra,AND,유럽,1950,82.5
Kenya,KEN,아프리카,2000,82.2
Guatemala,GTM,북미,2024,82.1
Botswana,BWA,아프리카,2003,81.2
Jamaica,JAM,북미,1999,79.9
Egypt,EGY,아프리카,2022,79.5
Bangladesh,BGD,아시아,2022,79.0
Rwanda,RWA,아프리카,2022,78.8
Reunion,REU,아프리카,1982,78.6
India,IND,아시아,2024,78.2
Tanzania,TZA,아프리카,2022,78.2
Bahamas,BHS,북미,1950,77.5
Uganda,UGA,아프리카,2024,77.0
Solomon Islands,SLB,오세아니아,1999,76.6
Ghana,GHA,아프리카,2021,76.5
Congo,COG,아프리카,2005,76.1
Comoros,COM,아프리카,2021,75.6
Laos,LAO,아시아,2023,75.6
Algeria,DZA,아프리카,2008,75.1
Madagascar,MDG,아프리카,2021,74.7
Togo,TGO,아프리카,2022,72.6
Cameroon,CMR,아프리카,2018,72.5
Netherlands Antilles,ANT,북미,1950,72.5
Cambodia,KHM,아시아,2021,71.9
Zambia,ZMB,아프리카,2024,71.8
Burundi,BDI,아프리카,2020,71.3
Nigeria,NGA,아프리카,2024,70.4
Malawi,MWI,아프리카,2020,70.2
East Timor,TLS,아시아,2022,69.4
Nepal,NPL,아시아,2019,68.7
Democratic Republic of Congo,COD,아프리카,2023,68.5
Angola,AGO,아프리카,2023,68.2
Haiti,HTI,북미,2017,68.0
Fiji,FJI,오세아니아,1950,67.5
Gibraltar,GIB,유럽,1950,67.5
Bhutan,BTN,아시아,2022,64.9
Eritrea,ERI,아프리카,2008,64.7
Morocco,MAR,아프리카,2014,64.3
Guinea-Bissau,GNB,아프리카,2022,63.9
Mozambique,MOZ,아프리카,2022,61.7
Ethiopia,ETH,아프리카,2022,60.5
Libya,LBY,아프리카,1984,60.2
Mauritania,MRT,아프리카,2020,59.5
Liberia,LBR,아프리카,2010,59.4
Pakistan,PAK,아시아,2021,58.9
Hong Kong,HKG,아시아,1950,57.5
Somalia,SOM,아프리카,2022,54.1
Sudan,SDN,아프리카,2008,53.5
Gambia,GMB,아프리카,2021,51.6
Benin,BEN,아프리카,2022,51.4
Senegal,SEN,아프리카,2023,50.4
Cote d'Ivoire,CIV,아프리카,2021,50.0
Sierra Leone,SLE,아프리카,2019,43.6
Central African Republic,CAF,아프리카,2019,42.4
Burkina Faso,BFA,아프리카,2023,41.6
Guinea,GIN,아프리카,2018,39.6
Afghanistan,AFG,아시아,2021,37.3
Yemen,YEM,아시아,1994,37.1
Mali,MLI,아프리카,2024,35.6
Niger,NER,아프리카,2022,35.6
French Polynesia,PYF,오세아니아,1950,32.5
Chad,TCD,아프리카,2019,30.6
South Sudan,SSD,아프리카,2008,26.8
Cocos Islands,CCK,아시아,1950,17.5
Djibouti,DJI,아프리카,1950,3.0
