국가,코드,대륙,연도,기대수명
Belize,BLZ,북미,2023,73.6
North Korea,PRK,아시아,2023,73.6
Suriname,SUR,남미,2023,73.6
Trinidad and Tobago,TTO,북미,2023,73.5
Ukraine,UKR,유럽,2023,73.4
Russia,RUS,유럽,2023,73.2
Bhutan,BTN,아시아,2023,73.0
American Samoa,ASM,오세아니아,2023,72.9
Honduras,HND,북미,2023,72.9
Seychelles,SYC,아프리카,2023,72.9
Tonga,TON,오세아니아,2023,72.9
Saint Lucia,LCA,북미,2023,72.7
Guatemala,GTM,북미,2023,72.6
Venezuela,VEN,남미,2023,72.5
Uzbekistan,UZB,아시아,2023,72.4
Iraq,IRQ,아시아,2023,72.3
El Salvador,SLV,북미,2023,72.1
Saint Kitts and Nevis,KNA,북미,2023,72.1
Syria,SYR,아시아,2023,72.1
India,IND,아시아,2023,72.0
Tajikistan,TJK,아시아,2023,71.8
Kyrgyzstan,KGZ,아시아,2023,71.7
Mongolia,MNG,아시아,2023,71.7
Samoa,WSM,오세아니아,2023,71.7
Egypt,EGY,아프리카,2023,71.6
Jamaica,JAM,북미,2023,71.5
Vanuatu,VUT,오세아니아,2023,71.5
Western Sahara,ESH,아프리카,2023,71.4
Moldova,MDA,유럽,2023,71.2
Saint Vincent and the Grenadines,VCT,북미,2023,71.2
Dominica,DMA,북미,2023,71.1
Indonesia,IDN,아시아,2023,71.1
Cambodia,KHM,아시아,2023,70.7
Solomon Islands,SLB,오세아니아,2023,70.5
Nepal,NPL,아시아,2023,70.4
Guyana,GUY,남미,2023,70.2
Greenland,GRL,북미,2023,70.1
Turkmenistan,TKM,아시아,2023,70.1
Niue,NIU,오세아니아,2023,70.0
Philippines,PHL,아시아,2023,69.8
Sao Tome and Principe,STP,아프리카,2023,69.7
Libya,LBY,아프리카,2023,69.3
Palau,PLW,오세아니아,2023,69.3
Yemen,YEM,아시아,2023,69.3
Botswana,BWA,아프리카,2023,69.2
Laos,LAO,아시아,2023,69.0
Senegal,SEN,아프리카,2023,68.7
Bolivia,BOL,남미,2023,68.6
Eritrea,ERI,아프리카,2023,68.6
Mauritania,MRT,아프리카,2023,68.5
Gabon,GAB,아프리카,2023,68.3
Uganda,UGA,아프리카,2023,68.3
Rwanda,RWA,아프리카,2023,67.8
East Timor,TLS,아시아,2023,67.7
Pakistan,PAK,아시아,2023,67.6
Malawi,MWI,아프리카,2023,67.4
Namibia,NAM,아프리카,2023,67.4
Ethiopia,ETH,아프리카,2023,67.3
Fiji,FJI,오세아니아,2023,67.3
Micronesia (country),FSM,오세아니아,2023,67.2
Tuvalu,TUV,오세아니아,2023,67.1
Tanzania,TZA,아프리카,2023,67.0
Marshall Islands,MHL,오세아니아,2023,66.9
Myanmar,MMR,아시아,2023,66.9
Comoros,COM,아프리카,2023,66.8
Kiribati,KIR,오세아니아,2023,66.5
Sudan,SDN,아프리카,2023,66.3
Zambia,ZMB,아프리카,2023,66.3
Papua New Guinea,PNG,오세아니아,2023,66.1
South Africa,ZAF,아프리카,2023,66.1
Afghanistan,AFG,아시아,2023,66.0
Djibouti,DJI,아프리카,2023,66.0
Gambia,GMB,아프리카,2023,65.9
Congo,COG,아프리카,2023,65.8
Ghana,GHA,아프리카,2023,65.5
Palestine,PSE,아시아,2023,65.2
Haiti,HTI,북미,2023,64.9
Angola,AGO,아프리카,2023,64.6
Eswatini,SWZ,아프리카,2023,64.1
Guinea-Bissau,GNB,아프리카,2023,64.1
Burundi,BDI,아프리카,2023,63.7
Cameroon,CMR,아프리카,2023,63.7
Equatorial Guinea,GNQ,아프리카,2023,63.7
Kenya,KEN,아프리카,2023,63.6
Madagascar,MDG,아프리카,2023,63.6
Mozambique,MOZ,아프리카,2023,63.6
Zimbabwe,ZWE,아프리카,2023,62.8
Togo,TGO,아프리카,2023,62.7
Liberia,LBR,아프리카,2023,62.2
Nauru,NRU,오세아니아,2023,62.1
Cote d'Ivoire,CIV,아프리카,2023,61.9
Democratic Republic of Congo,COD,아프리카,2023,61.9
Sierra Leone,SLE,아프리카,2023,61.8
Niger,NER,아프리카,2023,61.2
Burkina Faso,BFA,아프리카,2023,61.1
Benin,BEN,아프리카,2023,60.8
Guinea,GIN,아프리카,2023,60.7
Mali,MLI,아프리카,2023,60.4
Somalia,SOM,아프리카,2023,58.8
South Sudan,SSD,아프리카,2023,57.6
Central African Republic,CAF,아프리카,2023,57.4
Lesotho,LSO,아프리카,2023,57.4
Chad,TCD,아프리카,2023,55.1
Nigeria,NGA,아프리카,2023,54.5
