국가,코드,대륙,연도,국토 숲 비율
Haiti,HTI,북미,2025,13.5
United Kingdom,GBR,유럽,2025,13.5
Morocco,MAR,아프리카,2025,12.8
Cape Verde,CPV,아프리카,2025,12.7
Maldives,MDV,아시아,2025,12.4
Ireland,IRL,유럽,2025,12.1
Tonga,TON,오세아니아,2025,12.1
Cote d'Ivoire,CIV,아프리카,2025,11.9
Eritrea,ERI,아프리카,2025,11.9
Burkina Faso,BFA,아프리카,2025,11.8
Sudan,SDN,아프리카,2025,11.8
Uganda,UGA,아프리카,2025,11.8
Armenia,ARM,아시아,2025,11.7
Uruguay,URY,남미,2025,11.6
Moldova,MDA,유럽,2025,11.3
South Sudan,SSD,아프리카,2025,11.3
Turks and Caicos Islands,TCA,북미,2025,11.1
Netherlands,NLD,유럽,2025,11.0
Burundi,BDI,아프리카,2025,10.9
Namibia,NAM,아프리카,2025,9.8
Mongolia,MNG,아시아,2025,9.1
Sint Maarten (Dutch part),SXM,북미,2025,8.8
Uzbekistan,UZB,아시아,2025,8.8
Mali,MLI,아프리카,2025,8.6
Somalia,SOM,아프리카,2025,7.7
Kenya,KEN,아프리카,2025,6.9
Iran,IRN,아시아,2025,6.6
Kyrgyzstan,KGZ,아시아,2025,6.5
Isle of Man,IMN,유럽,2025,6.4
Bahrain,BHR,아시아,2025,5.5
Turkmenistan,TKM,아시아,2025,5.0
United Arab Emirates,ARE,아시아,2025,4.6
Tunisia,TUN,아프리카,2025,4.4
Pakistan,PAK,아시아,2025,4.1
Tajikistan,TJK,아시아,2025,3.1
Chad,TCD,아프리카,2025,2.9
Syria,SYR,아시아,2025,2.9
Aruba,ABW,북미,2025,2.7
Afghanistan,AFG,아시아,2025,1.9
Western Sahara,ESH,아프리카,2025,1.9
Iraq,IRQ,아시아,2025,1.6
Malta,MLT,유럽,2025,1.5
Kazakhstan,KAZ,아시아,2025,1.3
Kiribati,KIR,오세아니아,2025,1.3
Saudi Arabia,SAU,아시아,2025,1.3
Lesotho,LSO,아프리카,2025,1.1
Mauritania,MRT,아프리카,2025,1.0
Yemen,YEM,아시아,2025,1.0
Jordan,JOR,아시아,2025,0.8
Niger,NER,아프리카,2025,0.8
Algeria,DZA,아프리카,2025,0.7
Iceland,ISL,유럽,2025,0.6
Kuwait,KWT,아시아,2025,0.4
Djibouti,DJI,아프리카,2025,0.3
Curacao,CUW,북미,2025,0.2
Faroe Islands,FRO,유럽,2025,0.1
Libya,LBY,아프리카,2025,0.1
Qatar,QAT,아시아,2025,0.1
Egypt,EGY,아프리카,2025,0.0
Greenland,GRL,북미,2025,0.0
Monaco,MCO,유럽,2025,0.0
Nauru,NRU,오세아니아,2025,0.0
Oman,OMN,아시아,2025,0.0
