이름,분류,질량g,낙하,연도,위도,경도
Aachen,L5,21,Fell,1880,50.775,6.083
Aguila Blanca,L,1440,Fell,1920,-30.867,-64.55
Al Zarnkh,LL5,700,Fell,2001,13.66,28.96
Alfianello,L6,228000,Fell,1883,45.267,10.15
Andura,H6,17900,Fell,1939,20.883,76.867
Arbol Solo,H5,810,Fell,1954,-33.0,-66.0
Athens,LL6,265,Fell,1933,34.75,-87.0
Aztec,L6,2830,Fell,1938,36.8,-108.0
Banswal,L5,14,Fell,1913,30.4,78.2
Bassikounou,H5,29560,Fell,2006,15.783,-5.9
Beddgelert,H5,794,Fell,1949,53.017,-4.1
Benton,LL6,2840,Fell,1949,45.95,-67.55
Bhawad,LL6,678,Fell,2002,26.508,73.115
Bishopville,Aubrite,6000,Fell,1843,34.167,-80.283
Bocas,L6,56,Fell,1804,23.0,-102.0
Boumdeid (2003),L6,190,Fell,2003,17.711,-11.371
Bukhara,CV3,5300,Fell,2001,39.78,64.6
Butsura,H6,29000,Fell,1861,27.083,84.083
Cañellas,H4,945,Fell,1861,41.25,1.667
Castine,L6,94,Fell,1848,44.383,-68.75
Chajari,L5,18300,Fell,1933,-30.783,-58.05
Chaves,Howardite,2945,Fell,1925,41.933,-7.467
Chiang Khan,H6,367,Fell,1981,17.9,101.633
Cold Bokkeveld,CM2,5200,Fell,1838,-33.133,19.383
Crumlin,L5,4255,Fell,1902,54.617,-6.217
Daule,L5,6580,Fell,2008,-1.871,-79.958
Devri-Khera,L6,1140,Fell,1994,24.225,76.525
Djoumine,H5-6,10000,Fell,1999,36.95,9.55
Dowa,Stone-uncl,642,Fell,1976,-13.667,33.917
Duwun,L6,2117,Fell,1943,33.433,127.267
El Idrissia,L6,10000,Fell,1989,34.417,3.25
Ensisheim,LL6,127000,Fell,1491,47.867,7.35
Farmington,L5,89400,Fell,1890,39.75,-97.033
Fisher,L6,17600,Fell,1894,47.817,-96.85
Fuhe,L5,23000,Fell,1945,31.476,113.567
Gao-Guenie,H5,NA,Fell,1960,11.65,-2.183
Glanerbrug,L/LL5,670,Fell,1990,52.2,6.867
Grimsby,H5,215,Fell,2009,43.2,-79.617
Guangrao,L6,1900,Fell,1980,37.1,118.4
Gursum,H4/5,34650,Fell,1981,9.367,42.417
Harleton,L6,8360,Fell,1961,32.675,-94.512
Hessle,H5,20000,Fell,1869,59.85,17.667
Hotse,L6,180,Fell,1956,35.667,115.5
Ichkala,H6,3973,Fell,1936,58.2,82.933
Ishinga,H,1300,Fell,1954,-8.933,33.8
Jamkheir,H6,22,Fell,1866,18.75,75.333
Jodiya,L5,100,Fell,2006,22.68,70.313
Juromenha,"Iron, IIIAB",25250,Fell,1968,38.74,-7.27
Kakangari,K3,350,Fell,1890,12.383,78.517
Kapoeta,Howardite,11355,Fell,1942,4.7,33.633
Kasamatsu,H,710,Fell,1938,35.367,136.767
Kerilis,H5,5000,Fell,1874,48.4,-3.3
Khohar,L3.6,9700,Fell,1910,25.1,81.533
Killeter,H6,140,Fell,1844,54.667,-7.667
Komagome,Iron,238,Fell,1926,35.733,139.75
Kulak,L5,453.6,Fell,1961,30.731,66.802
Kyushu,L6,45000,Fell,1886,32.033,130.633
Lakangaon,Eucrite-mmict,212.5,Fell,1910,21.867,76.033
Lavrentievka,L6,800,Fell,1938,52.45,51.567
Lesves,L6,2000,Fell,1896,50.367,4.733
Lodran,Lodranite,1000,Fell,1868,29.533,71.8
Lumpkin,L6,340,Fell,1869,32.033,-84.767
Macibini,Eucrite-pmict,1995,Fell,1936,-28.833,31.95
Malakal,L5,2000,Fell,1970,9.5,31.75
Mardan,H5,4500,Fell,1948,34.233,72.083
Maromandia,L6,6000,Fell,2002,-14.2,48.1
Maziba,L6,4975,Fell,1942,-1.217,30.0
Merua,H5,71400,Fell,1920,25.483,81.983
Mighei,CM2,8000,Fell,1889,48.067,30.967
Minnichhof,OC,550,Fell,1905,47.7,16.6
Monroe,H4,8600,Fell,1849,35.25,-80.5
Moradabad,L6,70,Fell,1808,28.783,78.833
Mtola,Stone-uncl,1100,Fell,1944,-11.5,33.5
Nagai,L6,1810,Fell,1922,38.122,140.062
Naoki,H6,17000,Fell,1928,19.25,77.0
Nejo,L6,2450,Fell,1970,9.5,35.333
Niger (L6),L6,3.3,Fell,1967,,
Nogata,L6,472,Fell,,33.725,130.75
Nuevo Mercurio,H5,50000,Fell,1978,24.3,-102.133
Ogi,H6,14360,Fell,1741,33.283,130.2
Olivenza,LL5,150000,Fell,1924,38.717,-7.067
Otomi,H,6510,Fell,1867,38.4,140.35
Pacula,L6,3400,Fell,1881,21.05,-99.3
Pampanga,L5,10500,Fell,1859,15.083,120.7
Patrimonio,L6,2121,Fell,1950,-19.533,-48.567
Peckelsheim,Diogenite-pm,117.8,Fell,1953,51.667,9.25
Petersburg,Eucrite-pmict,1800,Fell,1855,35.3,-86.633
Piplia Kalan,Eucrite-mmict,42000,Fell,1996,26.035,73.942
Dominion Range 03240,LL5,290.9,Found,2002,,
Pribram,H5,5555,Fell,1959,49.667,14.033
Queen's Mercy,H6,7000,Fell,1925,-30.117,28.7
Rampurhat,LL,100,Fell,1916,24.167,87.767
Red Canyon Lake,H5,18.41,Fell,2007,38.137,-119.758
Rich Mountain,L6,668,Fell,1903,35.033,-83.033
Roda,Diogenite,400,Fell,1871,42.3,0.55
Sabrum,LL6,478,Fell,1999,23.083,91.667
San Juan Capistrano,H6,56,Fell,1973,33.485,-117.662
Saratov,L4,200000,Fell,1918,52.55,46.55
Sediköy,L6,240,Fell,1917,38.3,27.133
Serra de Magé,Eucrite-cm,1800,Fell,1923,-8.383,-36.767
Sheyang,L6,605,Fell,1976,33.65,120.067
Simmern,H5,1222,Fell,1920,49.983,7.533
Slavetic,H5,1708,Fell,1868,45.683,15.6
Soroti,"Iron, ungrouped",2050,Fell,1945,1.7,33.633
St. Michel,L6,17000,Fell,1910,61.65,27.2
Stretchleigh,Stone-uncl,10400,Fell,1623,50.383,-3.95
Sutter's Mill,C,992.5,Fell,2012,38.804,-120.908
Tamdakht,H5,100000,Fell,2008,31.163,-7.015
Thal,H6,342,Fell,1950,33.4,70.6
Tissint,Martian (shergottite),7000,Fell,2011,29.482,-7.611
Torrington,H6,259.1,Fell,1944,42.067,-104.167
Trysil,L/LL6,640,Fell,1927,61.3,12.3
Ucera,H5,4590,Fell,1970,11.05,-69.85
Umm Ruaba,L5,1700,Fell,1966,13.467,31.217
Valdinizza,L6,1004,Fell,1903,44.867,9.15
Vetluga,Eucrite-mmict,750,Fell,1949,57.8,45.8
Vouillé,L6,20000,Fell,1831,46.633,0.167
Whetstone Mountains,H5,2138.74,Fell,2009,31.962,-110.434
Wuan,H6,50000,Fell,1986,36.75,114.25
Yonozu,H4/5,31650,Fell,1837,37.75,139.0
Zaisan,H5,463,Fell,1963,47.5,83.0
Zhuanghe,H5,2900,Fell,1976,39.667,122.983
Abo,H,1.2,Found,1840,60.433,22.3
Acfer 008,H5,205,Found,1989,27.533,3.7
Acfer 017,L5,446,Found,1989,27.733,4.4
Acfer 026,H5/6,88,Found,1989,27.617,4.05
Acfer 036,L5/6,112,Found,1989,27.583,4.25
Acfer 046,H5,1066,Found,1989,27.783,4.7
Acfer 055,H5,1338,Found,1989,27.5,3.983
Acfer 065,H4-5,1539,Found,1989,27.5,4.283
Acfer 074,L6,384,Found,1990,27.483,3.833
Acfer 083,L6,690,Found,1990,27.483,3.633
Acfer 092,H5,244,Found,1990,27.667,4.517
Acfer 102,L3-5,346,Found,1990,27.667,4.467
Acfer 111,H3-6,987,Found,1990,27.483,3.8
Acfer 119,H3.8,121,Found,1990,27.65,4.233
Acfer 128,L6,163,Found,1990,27.5,4.3
Acfer 137,H4/5,106,Found,1990,27.583,4.083
Acfer 146,H5,200,Found,1990,27.633,4.083
Acfer 155,L6,206,Found,1990,27.667,4.25
Acfer 165,H5-6,84,Found,1990,27.567,4.333
Acfer 174,LL6,127,Found,1990,27.483,3.867
Acfer 183,H5,114,Found,1990,27.583,4.167
Acfer 192,H3.9-5,219,Found,1990,27.65,4.2
Acfer 201,L5,55,Found,1991,27.592,3.918
Acfer 210,H3.7,720,Found,1991,27.497,3.87
Acfer 218,L6,114,Found,1991,27.545,3.743
Acfer 228,L5,2285,Found,1991,27.574,4.12
Acfer 237,H3,673,Found,1991,27.492,3.833
Acfer 247,L4,60,Found,1991,27.636,4.031
Acfer 256,H5/6,235,Found,1991,27.646,4.397
Acfer 265,Mesosiderite,83,Found,1991,27.715,4.193
Acfer 274,H6,203,Found,1991,27.634,4.187
Acfer 283,H5,187,Found,1991,27.701,4.229
Acfer 293,LL6,198,Found,1992,27.666,4.191
Acfer 302,H5,95,Found,1992,27.587,3.964
Acfer 311,CR2,120,Found,1992,27.508,3.844
Acfer 319,L6,2393,Found,1992,27.552,3.816
Acfer 328,CV3,180.07,Found,2001,27.733,4.217
Acfer 337,L3.8,360,Found,2002,27.683,4.267
Acfer 346,LL6,546,Found,2002,27.591,4.663
Acfer 356,EL6,120,Found,2002,27.612,4.529
Acfer 365,L5,1456,Found,2002,27.609,3.936
Acfer 374,CO3,118,Found,2002,26.609,4.053
Acfer 386,L5,200,Found,2004,27.36,3.7
Acfer 395,CR2,394,Found,2001,27.509,3.888
Acme,H5,75000,Found,1947,33.633,-104.267
Admire,"Pallasite, PMG",180000,Found,1881,38.7,-96.1
Adzhi-Bogdo (iron),"Iron, IAB complex",582000,Found,1952,44.867,95.417
Aguemour 004,H5,1137,Found,1990,27.333,4.5
Aguemour 013,L5,364,Found,1993,27.57,4.526
Akmolla,H4,114,Found,1988,39.538,59.558
Al Huqf 005,L6,763.29,Found,2002,19.841,57.008
Al Huqf 051,L6,402.75,Found,2003,19.803,57.321
Al Huqf 060,L~6,913.1,Found,2001,19.405,57.268
Al Huwaysah 001,LL6,3150.5,Found,2009,22.805,55.327
Al Huwaysah 010,Achondrite-ung,1411.8,Found,2010,22.749,55.472
Alaer 002,LL5,1.1,Found,2007,40.333,81.25
Alexander County,"Iron, IAB complex",192,Found,1875,35.75,-81.25
Alkali Flat,L5,28,Found,2011,32.306,-108.904
Allan Hills 06006,H~5,280.9,Found,2006,-76.706,158.776
Allan Hills 09003,L6,15.5,Found,2009,-76.742,159.375
Allan Hills 09014,L5,30.2,Found,2009,0.0,0.0
Allan Hills 82105,L6,363.3,Found,1982,-77.049,157.183
Allan Hills 82114,H5,40.7,Found,1982,-77.036,157.24
Allan Hills 82123,L6,110.8,Found,1982,-76.947,156.93
Allan Hills 82132,EH4,5.9,Found,1982,-76.976,156.949
Allan Hills 82141,H5,0.6,Found,1982,-77.037,157.237
Allan Hills 83006,H5,230.2,Found,1983,-76.719,158.772
Allan Hills 83016,CM2,4.1,Found,1983,-76.823,158.206
Allan Hills 83025,H5,77.8,Found,1983,-76.691,159.382
Allan Hills 83034,H5,6.5,Found,1983,-76.699,159.391
Allan Hills 83043,L6,2.7,Found,1983,-76.822,158.215
Allan Hills 83052,L6,52.8,Found,1983,-76.823,158.213
Allan Hills 83061,H5,33.6,Found,1983,-76.716,158.731
Allan Hills 83070,LL6,215.7,Found,1983,-76.822,158.131
Allan Hills 83105,L6,0.7,Found,1983,-77.041,157.059
Allan Hills 84006,H4/5,16000,Found,1984,-76.762,158.774
Allan Hills 84014,Aubrite,49.4,Found,1984,-76.884,158.675
Allan Hills 84023,Aubrite,262.4,Found,1984,-76.898,158.585
Allan Hills 84033,CM2,60.4,Found,1984,-76.744,158.839
Allan Hills 84042,CM2,51.3,Found,1984,-77.043,157.073
Allan Hills 84051,CM2,34.3,Found,1984,-77.039,157.072
Allan Hills 84061,L6,676.4,Found,1984,-76.993,156.955
Allan Hills 84070,L6,3951.7,Found,1984,-76.908,156.88
Allan Hills 84079,L6,749.6,Found,1984,-76.909,156.879
Allan Hills 84088,H5,297.5,Found,1984,-76.902,156.923
Allan Hills 84097,L6,388.7,Found,1984,-76.91,156.721
Allan Hills 84106,L6,94.7,Found,1984,-76.887,156.933
Allan Hills 84115,H6,194.5,Found,1984,-77.044,157.09
Allan Hills 84125,LL6,76.4,Found,1984,-76.737,158.826
Allan Hills 84134,L6,113.4,Found,1984,-76.9,156.776
Allan Hills 84142,L6,78.5,Found,1984,-77.011,156.946
Allan Hills 84151,H6,112.4,Found,1984,-76.753,158.766
Allan Hills 84160,L6,53.9,Found,1984,-76.923,156.816
Allan Hills 84169,L6,98.4,Found,1984,-76.748,158.846
Allan Hills 84178,H5,0.4,Found,1984,-76.801,158.129
Allan Hills 84188,EH3,3.1,Found,1984,-76.753,158.767
Allan Hills 84197,L6,8.2,Found,1984,-76.757,158.904
Allan Hills 84206,EH3,15.1,Found,1984,-76.751,158.765
Allan Hills 84215,H6,9.2,Found,1984,-76.679,159.342
Allan Hills 84224,H6,7.2,Found,1984,-76.694,159.388
Allan Hills 84232,H4,9.9,Found,1984,-76.711,158.746
Allan Hills 84241,H5,16.7,Found,1984,-76.975,156.923
Allan Hills 84251,H5,34.3,Found,1984,-76.955,156.935
Allan Hills 84260,H5,14.6,Found,1984,-76.733,159.19
Allan Hills 85005,CM2,18.9,Found,1985,-76.978,156.936
Allan Hills 85013,CM2,130.4,Found,1985,-76.891,156.463
Allan Hills 85022,L6,951.5,Found,1985,-76.844,156.367
Allan Hills 85031,H6,200.6,Found,1985,-76.899,156.525
Allan Hills 85040,L6,95.7,Found,1985,-76.818,156.031
Allan Hills 85050,L6,0.9,Found,1985,-76.879,156.497
Allan Hills 85058,L4,0.3,Found,1985,-76.911,156.658
Allan Hills 85067,H5,1.3,Found,1985,-76.679,159.342
Allan Hills 85076,L6,78.3,Found,1985,-76.687,159.347
Allan Hills 85085,CH3,11.9,Found,1985,-76.848,156.42
Allan Hills 85094,H6,8.7,Found,1985,-76.698,159.388
Allan Hills 85103,L6,86.9,Found,1985,-76.916,156.673
Allan Hills 85113,L6,39.9,Found,1985,-76.919,156.583
Allan Hills 85123,L5,15.3,Found,1985,-76.752,159.389
Allan Hills 85132,L6,49.3,Found,1985,-76.851,156.298
Allan Hills 85141,H5,10.6,Found,1985,-76.835,156.443
Allan Hills 85150,L5,13,Found,1985,-76.914,156.539
Allan Hills 85159,EH3,11,Found,1985,-76.856,156.327
Allan Hills 86608,L6,9.8,Found,1986,-76.731,159.416
Allan Hills 87905,L6,28.3,Found,1987,-76.749,159.289
Allan Hills 88008,H4/5,153.5,Found,1988,-76.693,159.348
Allan Hills 88017,H4,70.4,Found,1988,-76.684,159.262
Allan Hills 88026,H5,37.1,Found,1988,-76.691,159.32
Allan Hills 88035,H5,26.6,Found,1988,-76.701,159.311
Allan Hills 88044,L3.4,21,Found,1988,-76.687,159.349
Allan Hills 88053,H4,18.2,Found,1988,-76.721,159.403
Allan Hills 88063,H5/6,13.4,Found,1988,-76.692,159.297
Allan Hills 88072,H5,12.33,Found,1988,-76.723,158.724
Allan Hills 88081,H5,11.14,Found,1988,-76.722,158.734
Allan Hills 88090,H4,9.7,Found,1988,-76.717,159.333
Allan Hills 88100,H5,8.49,Found,1988,-76.717,159.333
Allan Hills 88109,L6,7.19,Found,1988,-76.717,159.333
Allan Hills 88118,H6,5.72,Found,1988,-76.717,159.333
Allan Hills 90401,LL6,274.1,Found,1990,-76.725,159.195
Allan Hills 90410,H5,20.1,Found,1990,-76.978,156.925
Allan Hills 94005,H5,8.2,Found,1994,-76.717,159.667
Allan Hills 94014,L6,22.9,Found,1994,-76.717,159.667
Allan Hills 95102,L6,7,Found,1995,-76.717,159.667
Allan Hills 97101,H5,222.4,Found,1997,-76.717,159.667
Allan Hills 97110,H5,3.6,Found,1997,-76.717,159.667
Allan Hills A76001,L6,20151,Found,1976,-76.75,159.333
Allan Hills A77001,L6,252,Found,1977,-76.75,159.333
Allan Hills A77011,L3.5,291.5,Found,1977,-76.717,159.667
Allan Hills A77021,H5,16.7,Found,1977,-76.717,159.667
Allan Hills A77030,H4/5,0.8,Found,1977,-76.717,159.667
Cumulus Hills 04048,Ureilite,30.3,Found,2003,,
Allan Hills A77047,L3.5,20.5,Found,1977,-76.717,159.667
Allan Hills A77057,H4,3.03,Found,1977,-76.717,159.667
Allan Hills A77066,H5,4.9,Found,1977,-76.717,159.667
Allan Hills A77076,H5,1.7,Found,1977,-76.717,159.667
Allan Hills A77084,H5,44.1,Found,1977,-76.717,159.667
Allan Hills A77093,H4/5,9.05,Found,1977,-76.717,159.667
Allan Hills A77102,H5,12.3,Found,1977,-76.717,159.667
Allan Hills A77113,H5,2,Found,1977,-76.717,159.667
Allan Hills A77123,H5,3.46,Found,1977,-76.717,159.667
Allan Hills A77132,H5,115.4,Found,1977,-76.717,159.667
Allan Hills A77141,H4,11.2,Found,1977,-76.717,159.667
Allan Hills A77150,L6,58.3,Found,1977,-76.717,159.667
Allan Hills A77159,L6,17,Found,1977,-76.717,159.667
Allan Hills A77168,H5,24.7,Found,1977,-76.717,159.667
Allan Hills A77177,H5,368.2,Found,1977,-76.717,159.667
Allan Hills A77187,H5,52.2,Found,1977,-76.717,159.667
Allan Hills A77197,L3.7,20.3,Found,1977,-76.717,159.667
Allan Hills A77206,H5,4.36,Found,1977,-76.717,159.667
Allan Hills A77215,L3.8,819.6,Found,1977,-76.717,159.667
Allan Hills A77224,H4,786.9,Found,1977,-76.717,159.667
Allan Hills A77233,H4,4087,Found,1977,-76.717,159.667
Allan Hills A77243,H5,9.22,Found,1977,-76.717,159.667
Allan Hills A77253,H5,23.6,Found,1977,-76.717,159.667
Allan Hills A77262,H4,861.5,Found,1977,-76.717,159.667
Allan Hills A77270,L6,588.9,Found,1977,-76.717,159.667
Allan Hills A77280,L6,3226,Found,1977,-76.717,159.667
Allan Hills A77289,"Iron, IAB-MG",2186,Found,1977,-76.717,159.667
Allan Hills A77299,H3.7,260.7,Found,1977,-76.717,159.667
Allan Hills A78001,H5,84.5,Found,1978,-76.75,159.5
Allan Hills A78011,L3,4.84,Found,1977,-76.717,159.667
Allan Hills A78020,H4,14.17,Found,1977,-76.717,159.667
Allan Hills A78029,H4,4.1,Found,1978,-76.717,159.667
Allan Hills A78038,L3.4,363,Found,1978,-76.717,159.667
Allan Hills A78047,H5,130.3,Found,1978,-76.717,159.667
Allan Hills A78056,H,10.61,Found,1977,-76.717,159.667
Allan Hills A78065,H6,7.3,Found,1978,-76.717,159.667
Allan Hills A78076,H6,275.6,Found,1978,-76.717,159.667
Allan Hills A78085,H5,219.3,Found,1978,-76.717,159.667
Allan Hills A78094,H5,4,Found,1978,-76.717,159.667
Allan Hills A78103,L6,589.7,Found,1978,-76.717,159.667
Allan Hills A78112,L6,2485,Found,1978,-76.717,159.667
Allan Hills A78121,H5,30.4,Found,1978,-76.717,159.667
Allan Hills A78130,L6,2733,Found,1978,-76.717,159.667
Cumulus Hills 04050,H6,3908,Found,2004,,
Allan Hills A78149,H4,23.2,Found,1978,-76.717,159.667
Allan Hills A78158,Eucrite-pmict,15.1,Found,1978,-76.717,159.667
Allan Hills A78168,H4,33.6,Found,1978,-76.717,159.667
Allan Hills A78177,H5,12.46,Found,1977,-76.717,159.667
Cumulus Hills 04051,H5,1789.9,Found,2004,,
Allan Hills A78194,H5,24.5,Found,1978,-76.717,159.667
Allan Hills A78204,H5,11.11,Found,1977,-76.717,159.667
Allan Hills A78213,H6,9.6,Found,1978,-76.717,159.667
Allan Hills A78222,H5,5.02,Found,1977,-76.717,159.667
Allan Hills A78230,Acapulcoite,3.87,Found,1977,-76.717,159.667
Allan Hills A78239,L3.4,16,Found,1978,-76.717,159.667
Allan Hills A78249,H6,4.2,Found,1978,-76.717,159.667
Allan Hills A78258,H4,8.42,Found,1977,-76.717,159.667
Allan Hills A79006,H5,41,Found,1979,-76.702,159.353
Allan Hills A79014,H5,10.8,Found,1979,-76.717,159.667
Allan Hills A79023,H4,68.1,Found,1979,-76.703,159.393
Allan Hills A79033,L6,280.8,Found,1979,-76.699,159.358
Allan Hills A79042,H5,11.5,Found,1979,-76.689,159.365
Allan Hills A79052,L6,22.6,Found,1979,-76.689,159.363
Allan Hills A80105,L6,445.1,Found,1980,-76.774,159.276
Allan Hills A80116,L6,191.2,Found,1980,-76.774,159.281
Allan Hills A80125,L6,139.2,Found,1980,-76.772,159.285
Allan Hills A81001,Eucrite-unbr,52.9,Found,1981,-76.701,159.403
Allan Hills A81010,Eucrite-pmict,219.1,Found,1981,-76.689,159.379
Allan Hills A81019,H5,1051.2,Found,1981,-76.827,158.211
Allan Hills A81028,L6,80.1,Found,1981,-76.69,159.263
Allan Hills A81037,H6,320.3,Found,1981,-76.717,159.667
Allan Hills A81047,H4,81.2,Found,1981,-76.711,158.785
Allan Hills A81056,H4,1.4,Found,1981,-76.684,159.357
Allan Hills A81065,L3.5,13.1,Found,1981,-76.688,159.361
Allan Hills A81074,H4,8,Found,1981,-76.698,159.398
Allan Hills A81083,H5,6.6,Found,1981,-76.692,159.391
Allan Hills A81092,H4,15.6,Found,1981,-76.693,159.392
Allan Hills A81101,Ureilite,119.2,Found,1981,-76.751,159.334
Allan Hills A81111,H6,210.3,Found,1981,-76.825,158.211
Allan Hills A81120,H5,13.8,Found,1981,-76.704,159.36
Allan Hills A81129,H5,31.6,Found,1981,-76.69,159.343
Allan Hills A81138,H5,4.3,Found,1981,-76.689,159.38
Allan Hills A81147,H4,1.7,Found,1981,-76.695,159.39
Allan Hills A81156,L3.5,19.7,Found,1981,-76.695,159.389
Allan Hills A81165,H5,6.3,Found,1981,-76.662,159.336
Allan Hills A81175,H5,13.2,Found,1981,-76.708,159.368
Allan Hills A81184,L4,16.7,Found,1981,-76.677,159.266
Allan Hills A81193,H6,13.4,Found,1981,-76.692,159.388
Allan Hills A81201,H5,6.5,Found,1981,-76.686,159.333
Allan Hills A81210,H6,0.6,Found,1981,-76.689,159.383
Allan Hills A81219,H5,24.4,Found,1981,-76.683,159.298
Allan Hills A81229,L3.3,40,Found,1981,-76.692,159.35
Allan Hills A81239,H5,31.6,Found,1981,-76.668,159.295
Allan Hills A81248,H6,4.9,Found,1981,-76.684,159.357
Allan Hills A81257,L6,28.7,Found,1981,-76.659,159.344
Allan Hills A81267,H4,26.8,Found,1981,-76.712,158.787
Allan Hills A81276,H5,42.3,Found,1981,-76.687,159.263
Allan Hills A81285,LL6,20,Found,1981,-76.66,159.313
Allan Hills A81293,H5,2,Found,1981,-76.684,159.341
Allan Hills A81303,H6,3.7,Found,1981,-76.681,159.344
Allan Hills A81312,CM2,0.7,Found,1981,-76.689,159.383
Alnif,H5,8000,Found,1992,30.667,-5.167
Angelica,"Iron, IIIAB",14800,Found,1916,44.25,-88.25
Anton,H4,41800,Found,1965,33.782,-102.181
Arabian Peninsula 002,Eucrite,54,Found,2006,,
Arch,CV3,985.8,Found,1972,34.15,-103.22
Armel,L5,9200,Found,1967,39.767,-102.133
Ashmore,H5,55400,Found,1969,32.9,-102.283
as-Sanam,Stone-uncl,NA,Found,1954,22.75,51.167
Asuka 87016,H4,26.23,Found,1987,-72.0,26.0
Asuka 87034,L4,19064.5,Found,1987,-72.0,26.0
Asuka 87078,H4,31.8,Found,1987,-72.0,26.0
Asuka 87095,L6,11.23,Found,1987,-72.0,26.0
Asuka 87110,L6,76.73,Found,1987,-72.0,26.0
Asuka 87127,CK6,19.12,Found,1987,-72.0,26.0
Asuka 87142,L3,27.99,Found,1987,-72.0,26.0
Asuka 87153,L3,142.51,Found,1987,-72.0,26.0
Asuka 87163,L6,49.13,Found,1987,-72.0,26.0
Asuka 87171,H4,45.52,Found,1987,-72.0,26.0
Asuka 87180,L3,133.04,Found,1987,-72.0,26.0
Asuka 87190,LL6,35.24,Found,1987,-72.0,26.0
Asuka 87199,L3,77.76,Found,1987,-72.0,26.0
Asuka 87209,H5,16.89,Found,1987,-72.0,26.0
Asuka 87218,H6,18.12,Found,1987,-72.0,26.0
Asuka 87227,H5,30.09,Found,1987,-72.0,26.0
Asuka 87243,L6,428.66,Found,1987,-72.0,26.0
Asuka 87257,L6,28.27,Found,1987,-72.0,26.0
Asuka 87270,L6,25.7,Found,1987,-72.0,26.0
Asuka 87281,H4,34.68,Found,1987,-72.0,26.0
Asuka 87291,H5,154.59,Found,1987,-72.0,26.0
Asuka 87311,H4,101.42,Found,1987,-72.0,26.0
Asuka 87321,L6,114.88,Found,1987,-72.0,26.0
Asuka 87330,H4,467.39,Found,1987,-72.0,26.0
Asuka 87339,H4,1103.15,Found,1987,-72.0,26.0
Asuka 880036,L6,14.34,Found,1988,-72.0,26.0
Asuka 880073,H5,54.97,Found,1988,-72.0,26.0
Asuka 880615,H5,496.51,Found,1988,-72.0,26.0
Asuka 880625,L6,47.26,Found,1988,-72.0,26.0
Asuka 880636,H4,149.15,Found,1988,-72.0,26.0
Asuka 880645,H4,40.1,Found,1988,-72.0,26.0
Asuka 880658,H4,34.57,Found,1988,-72.0,26.0
Asuka 880668,H4,14.1,Found,1988,-72.0,26.0
Asuka 880684,H3.9,60.26,Found,1988,-72.0,26.0
Asuka 880700,H4,327.5,Found,1988,-72.0,26.0
Asuka 880711,H3.7,59.58,Found,1988,-72.0,26.0
Asuka 880724,H3.8,78.24,Found,1988,-72.0,26.0
Asuka 880734,H4,44.19,Found,1988,-72.0,26.0
Asuka 880745,H3,74.1,Found,1988,-72.0,26.0
Asuka 880756,H5,62.37,Found,1988,-72.0,26.0
Asuka 880765,H4,60.09,Found,1988,-72.0,26.0
Asuka 880774,L3.7,12.21,Found,1988,-72.0,26.0
Asuka 880784,Ureilite,44.23,Found,1988,-72.0,26.0
Asuka 880794,H4,27.98,Found,1988,-72.0,26.0
Asuka 880803,H6,28.19,Found,1988,-72.0,26.0
Asuka 880812,H5,16.94,Found,1988,-72.0,26.0
Asuka 880821,H4,12.57,Found,1988,-72.0,26.0
Asuka 880832,H5,279.34,Found,1988,-72.0,26.0
Asuka 880841,H4,86.63,Found,1988,-72.0,26.0
Asuka 880850,LL6,56.75,Found,1988,-72.0,26.0
Asuka 880859,H5,29.25,Found,1988,-72.0,26.0
Asuka 880869,H3.8,114.34,Found,1988,-72.0,26.0
Asuka 880881,H4,21.59,Found,1988,-72.0,26.0
Asuka 880890,H4,28.12,Found,1988,-72.0,26.0
Asuka 880905,H5,41.2,Found,1988,-72.0,26.0
Asuka 880916,H3.3,15.87,Found,1988,-72.0,26.0
Asuka 880926,H4,82.47,Found,1988,-72.0,26.0
Asuka 880939,H4,23.91,Found,1988,-72.0,26.0
Asuka 880951,H3.8,52.86,Found,1988,-72.0,26.0
Asuka 880968,H4,65.09,Found,1988,-72.0,26.0
Asuka 880978,H5,34.38,Found,1988,-72.0,26.0
Asuka 880987,H5,100.52,Found,1988,-72.0,26.0
Asuka 880997,L6,201.02,Found,1988,-72.0,26.0
Asuka 881006,H4,461.09,Found,1988,-72.0,26.0
Asuka 881016,L6,54.41,Found,1988,-72.0,26.0
Asuka 881025,H5,70.55,Found,1988,-72.0,26.0
Asuka 881036,L5,732.82,Found,1988,-72.0,26.0
Asuka 881045,L6,99.6,Found,1988,-72.0,26.0
Asuka 881057,H5,182.01,Found,1988,-72.0,26.0
Asuka 881067,L6,627.34,Found,1988,-72.0,26.0
Asuka 881076,H4,107.71,Found,1988,-72.0,26.0
Asuka 881085,H4,82.45,Found,1988,-72.0,26.0
Asuka 881095,L5,64.82,Found,1988,-72.0,26.0
Asuka 881106,H5,22.58,Found,1988,-72.0,26.0
Asuka 881116,L5,62.18,Found,1988,-72.0,26.0
Asuka 881126,L6,140.14,Found,1988,-72.0,26.0
Asuka 881136,H4,19.04,Found,1988,-72.0,26.0
Asuka 881146,LL3.9,1989.35,Found,1988,-72.0,26.0
Asuka 881157,H4,387.61,Found,1988,-72.0,26.0
Asuka 881167,L3,243.55,Found,1988,-72.0,26.0
Cumulus Hills 04063,Pallasite,6188.3,Found,2003,,
